"Sira";"Hat Adi";"kV";"Durum";"Neden";"Aktif ID Adedi";"Kaynakta Bulunan Aktif ID";"Panel MW";"Panel MVAR";"Panel Yuklenme (%)";"Aktif SCADA IDler";"Reaktif SCADA IDler";"Alias Potansiyeli";"Alias Notu";"Kaynak Deger Ozet"
"126";"400kV ÇARŞAMBA - HASAN UĞURLU HES - II EİH";"400";"matched-single";"Tek aktif aday kaynakta bulundu.";"2";"1";"-17,03";"-0,53";"1,17";"8c5bbb4e-15cc-469e-b2e8-8d9e2fbf3b64 | 0154751a-a50b-4c3c-9d09-e934d14989b1";"0c1cd97c-da0f-4691-a3fd-2fc2e97f4b9e | 3fe22062-7a18-4a77-be2d-2d948b3491ad";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-17.09"
"127";"400kV ERZİN - MMK METALURJİ EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"25,54";"";"1,17";"033912bd-a383-4b99-8409-dd2797a972f2 | 371535a1-1437-49b8-9157-472d620e02ca";"3551b9a8-63ff-4184-8ef1-35c66a69c4bf | 1bd748dc-b112-495e-988f-a44da051f7fa";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"12.04"
"128";"400kV YUSUFELİ HES - İSPİR HAVZA EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"-24,31";"-58,64";"0,92";"cbfa3267-6402-4281-9b70-e6d2c465b65a | bb705b94-a80a-420c-ab37-51681bba97f0";"e07e46ef-d2ad-4c76-8b12-8fa190561e69 | 4109b18f-6e7e-4ff6-8a5b-2a4440aa58dc";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-24.18"
"129";"400kV İSDEMİR TES - MMK METALURJİ EİH";"400";"matched-tolerance";"Ayni yonlu coklu aday tolerans icinde (20.10 MW).";"2";"2";"19,61";"2,89";"0,90";"c2e66cf2-fb06-4d3a-9d51-a37d415fac8b | 363f5e68-c4d0-4346-b6f5-a87993cc2359";"0b612c95-fd85-4bc2-b4e1-fb5bb8dff542 | 289e8354-4c46-470a-ba80-8efb554ef5b3";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"9.54 | 29.64"
"130";"400kV ERMENEK HES - MERSİN380 EİH";"400";"matched-tolerance";"Ayni yonlu coklu aday tolerans icinde (43.66 MW).";"2";"2";"22,08";"6,15";"0,84";"3f00e387-7ac2-43d9-bd31-544f79d76a98 | 3e74cdeb-6d8c-44ac-b3a4-a088b38b562d";"091d929c-5fd5-410c-96a2-c442fd12307a | a60863ec-ef78-4c24-a0da-a1cd7d5e55ff";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (43.66 MW).";"22.06 | 65.73"
"131";"400kV TEKİRDAĞ DGKÇ A - HABİBLER EİH";"400";"matched-tolerance";"Ayni yonlu coklu aday tolerans icinde (1.72 MW).";"2";"2";"13,63";"-27,46";"0,63";"12e3d035-cc34-4b93-a581-25bbe56aeb8f | 433492f2-6dd9-4e93-bbeb-aa477453ee67";"c698fda8-cc8c-4858-b192-c0cb3c3183a4 | 97b30e96-e052-4f57-838d-5e31d5251fbe";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"14.46 | 12.75"
"132";"400kV BEKİRLİ TES - CENAL TES EİH";"400";"matched-tolerance";"Ayni yonlu coklu aday tolerans icinde (8.07 MW).";"2";"2";"14,23";"";"0,54";"f7e2295a-5372-4056-9fed-ad0b513a2cee | 09211ac7-6ca0-44a3-8c59-ea06c99bd304";"87221618-cc13-4c20-bd9b-aeab0a8c30ac | 869fa0ae-f2f6-4f53-b845-080ecd4adf9f";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"18.26 | 10.19"
"133";"400kV CİZRE - KASEK (IRAK) EİH";"400";"matched-single";"Tek aktif aday kaynakta bulundu.";"1";"1";"-8,67";"-0,01";"0,40";"4cf7d33f-48a8-4ff4-bba7-c125f0a6215e";"2fffe7aa-0e5a-451f-b3f2-46d6379d0f6e";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-8.67"
"134";"400kV KÖSE - BAĞIŞTAŞ EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"9,56";"";"0,36";"e2134a96-1635-40e4-9b78-9b9c8ea77848 | 3f08473c-a88e-4cdd-b8a7-9adba05cea7e";"82621a1a-2eae-44ff-8711-2a5b765bf524 | 24836e11-e073-48de-a91b-83d2b9ef5aed";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"15.81"
"135";"400kV TOSÇELİK - ERZİN DGKÇ EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"7,24";"";"0,28";"87ecd18b-9ba4-4cab-8ee8-bc2023c9cad3 | 9db586f6-1b88-4a5f-86bb-40c2322469b3";"2d06eeb7-ce0a-4a83-9a2d-77dd4134aae7 | 1ac24b20-4a16-41ce-98f1-ddc2f59652f4";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"2.40"
"136";"400kV ALİAĞA2 - İZMİR DGKÇ - II EİH";"400";"matched-single";"Tek aktif aday kaynakta bulundu.";"2";"1";"3,65";"1,83";"0,14";"13a08890-e1df-44c9-9a95-b2f1801b6674 | 68b69cb5-186e-4b08-adbe-d77e42893c9d";"e80bfcab-4e83-423a-a470-6b6adab1bd58 | bf28bd68-6ecc-420b-862a-63f80b973fd3";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"3.65"
"137";"400kV HATAY - SARISEKİ DEMİRÇELİK EİH";"400";"matched-single";"Tek aktif aday kaynakta bulundu.";"2";"1";"2,99";"-1,05";"0,14";"ea21969e-6c73-4736-a4f9-eecc570fe571 | a8768b8a-9fc7-4782-b479-975733de18c8";"28ffceac-3f38-4adc-a5a6-76ed890d0698 | 785b7bb2-2584-4c54-96be-0802e52541a6";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"2.99"
"138";"400kV ALİAĞA2 - İZMİR DGKÇ - I EİH";"400";"matched-single";"Tek aktif aday kaynakta bulundu.";"2";"1";"3,61";"-1,84";"0,14";"f48b548a-b161-4d8a-920f-fefc959b4462 | ff592add-9ef4-4222-84ca-4072bdab0bbf";"641435b3-1485-4533-b40c-8f015b1c7791 | b9660114-1631-4bff-a7d1-f221c696eb18";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"3.61"
"139";"400kV ÇOBANBEYLİ - ELBİSTAN B TES - II EİH";"400";"matched-single";"Ayni zamanli aktif adaylar ayni degerde.";"1";"2";"1,59";"1,18";"0,11";"69912dbe-69b9-4e10-9d43-29a4b525fd86";"9ca3dabb-e46d-45ce-bed9-59570e202d28";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"1.59 | 1.59"
