"Sira";"Hat Adi";"kV";"Durum";"Neden";"Aktif ID Adedi";"Kaynakta Bulunan Aktif ID";"Panel MW";"Panel MVAR";"Panel Yuklenme (%)";"Aktif SCADA IDler";"Reaktif SCADA IDler";"Alias Potansiyeli";"Alias Notu";"Kaynak Deger Ozet"
"166";"400kV DİYARBAKIR3 - KARAKAYA HES - I EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-25,24";"";"51f60183-e5ea-4d50-b3b5-e860a76172ac | f86a90af-93a8-41f3-99d3-b9ada7cb8f8c";"2d7a2a29-e54d-4b35-bb4a-67d0161cd438 | caefe940-9d6e-4c3c-8ff0-d5dce5d37601";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"246.85"
"167";"400kV ELBİSTAN TES - ÇOBANBEYLİ EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"73a63a5b-dfb4-45c2-99a7-730cc925cbad | 9723bc14-ab22-4b57-b244-af6b66511e5a";"f7404a1f-1eeb-4e14-b9f3-ab31b29f341f | 5855c181-a98a-4926-a6bd-e7adf10753f6";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (15.78 MW).";"-184.40 | 200.18"
"168";"400kV HİLVAN - KARAKAYA HES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"45fa7e5a-d4db-4eae-8da6-cb14a25ce315 | 732ecad4-4257-41ba-ba6e-12ca2e80f476";"aad63cd8-48d9-4a7c-961e-e7d7c274cccb | 6378805f-18a2-44b2-a071-f3520880b2f2";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (39.66 MW).";"-629.33 | 668.99"
"169";"400kV ADA1 DGKÇ - ADA2 DGKÇ EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"7,69";"";"5b8474ae-0046-470d-8bdc-e6114b42ca32 | ed54e725-13cf-465f-a24b-ea26608d9658";"1652a493-6893-45d6-a710-4b6300d1a2dd | 3c53a713-3c0b-4be0-b1e3-2431dd5b41c8";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-228.42"
"170";"400kV ADA1 DGKÇ - TEMELLİ EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"94,70";"";"695bcfcb-90ac-4f91-a95d-aff4f7be5adb | a58ac8fc-5b4e-45af-8aac-1840ce2efa0a";"3b91bd54-e949-4f6c-8698-38f29834f563 | 46eea6b4-0daa-4c93-82a2-e2a55ff7c4ed";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-913.94"
"171";"400kV ADA2 DGKÇ - OSMANCA EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"fd06ce21-1509-42a5-ad2d-28f904fe6a2d | 87d59895-f3e7-4344-8905-1554c9e6dac7";"c733e3c6-d226-4cd2-ade8-3cbb8d1b04a5 | c6e41aff-f3bf-4f96-ae25-9b14a2f78d67";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"600.88"
"172";"400kV ADAPAZARI - ÇAYIRHAN TES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"139,06";"";"91bc582e-c488-4cb4-b209-dd95a6c011be | ff50afeb-aed7-4688-b07f-1d0414087907";"86f0c503-d643-4a68-85e6-22a85506c09c | 0a053a14-8d68-4c8d-9d02-6f0b914b918c";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"-868.58 | 915.75"
"173";"400kV BURSA SANAYİ - KÖYLÜKÖY EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-34,77";"";"3a3b54d3-b94b-41e0-821e-fee4d0765150 | 75a42410-60bd-43e2-9030-3cb93d124da4";"9f409ee2-068f-4d74-8fe4-a685869f4991 | c2ed28d4-b680-41cf-9954-3cdb1b601a3b";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (28.45 MW).";"-236.54 | 264.99"
"174";"400kV BURSA DGKÇ - BURSA SANAYİ EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"1";"2";"";"";"";"5c4baca9-09ab-4c57-9133-bc96a7109064";"9d8c3100-f54a-4a60-9fa4-6aa1c167e422";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"-379.23 | 379.23"
"175";"400kV İÇDAŞ - BEKİRLİ TES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"264593bc-4e77-4575-8ef2-5081709d69a4 | dc4f456f-e2a8-44b3-b3f8-e0c66c6d55ea";"9bacc334-3141-4e6e-aecb-c3fdbd0693a0 | 9bcbc7a5-301c-40cf-9eb3-5ab874593e66";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"479.26 | -431.55"
"176";"400kV UZUNDERE - GERMENCİK EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"56701657-90e8-45f4-a0d5-626ce6d2ff26 | 373cded2-1de0-4163-bab4-47831a975583";"d161ee6e-db87-4075-8cc0-9771a7519b96 | 2be402a6-4b9c-463b-801e-cbf7b86cd461";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-504.32"
"177";"400kV SİNCAN - BAĞLUM EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"01996321-dd3b-4855-93d8-e8ac5765dd1c | 1353d19a-b0b5-45a1-8741-7d03cc8bc984";"bfe58fed-1ca2-42d9-8c71-01aaed416e7d | e81f44be-34e4-43a0-9898-a11537c57916";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (17.45 MW).";"320.47 | -303.02"
"178";"400kV ÜMRANİYE - KÜÇÜKBAKKALKÖY EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"04807cde-f749-45e7-b1d8-d066d4c9c86b | bb27a7c3-0822-43b1-8662-dc14d32495d9";"b5d90293-ac54-46bd-9226-ff7c9b0f012a | 7c1e4fee-6fcb-4302-90f0-c685f797671b";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"-97.44 | 124.48"
"179";"400kV ESKİŞEHİR3 - GÖKÇEKAYA HES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"5a48e2d8-e1a5-4239-ba44-c724135d1e8f | fd027666-1f39-4780-bc1f-486aad687a27";"50b91d60-ef6f-49b7-8669-af172cfbafd4 | 47386aeb-1f7e-4dd5-a033-823eed7048e0";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (19.45 MW).";"-54.99 | 74.43"
"180";"400kV OSMANCA - SİNCAN EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"123,40";"";"9a7fefab-623d-433d-9856-51f656bde7e0 | 64a14f61-8090-4eee-b371-8a7e89c7fa16";"a6b02890-5607-40c2-bdcb-7ccc31e9b38d | 9dd542bd-e01e-493f-b39c-5c476b24fdf8";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-948.40"
"181";"400kV OSMANCA - KURŞUNLU EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"100,80";"";"06afa4f0-03c3-40b7-b509-c2ca20a3483f | e57b0aba-810d-499a-baf5-82498ef0711e";"0b248bf0-0caa-42d6-b416-9cf2091991ea | 9e30dc20-3cbb-46be-a159-2e3494c926e4";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (91.28 MW).";"937.15 | -845.87"
"182";"400kV YENİKÖY TES - GERMENCİK EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"a72d8ebd-b0b0-458f-af1b-1432752459b3 | 484e7315-14c1-4ec9-8e41-6b255fb646d2";"e3b25dc6-d197-4766-8efe-e7887e6e66da | 2649619c-c6e3-4348-9cd2-8b3d54f47ac5";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-358.70"
"183";"400kV IŞIKLAR - YATAĞAN TES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"37b97054-c010-42a7-abe0-e68c028df051 | 56f6de8e-a502-4678-bf55-6ffcd7f3276d";"3d155365-cd10-4490-b1b2-2ac0a6ff96a7 | 9701f730-4b7f-48e4-9547-6be78a4afe93";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (13.75 MW).";"-538.88 | 552.63"
"184";"400kV YATAĞAN TES - YENİKÖY TES EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-1,08";"";"d0fc3f3d-7a0e-41f6-b24d-53bc0aea79c8 | 54c5d878-c0c9-4642-9663-1f3c1b21993d";"da3be63d-2b0b-46c7-b777-c001bbb9b94e | 93276743-5235-4b72-976a-d16c5b821487";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-88.00"
"185";"400kV UZUNDERE - ÇEŞME EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"10,91";"";"af62118f-72a9-458e-b518-c3a79c4ed81e | 61f0c11b-63f4-4caf-91d5-ca1c172f73eb";"651b3bcb-f74f-4960-8f8c-0ffbbf4e79a0 | 4f8e00e3-9467-416b-b16e-7cff393186b1";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"41.09"
"186";"400kV ÇOBANBEYLİ - ELBİSTAN B TES - IV EİH";"400";"missing-source-row";"Aktif SCADA ID kaynak tabloda bulunamadi.";"1";"0";"";"-0,21";"";"fb529e2d-ee5d-4b35-9577-a11ece896b5e";"a7ed74cc-f184-4de7-8b2b-266c34079b89";"";"";""
"187";"400kV HAMİTABAT DGKÇ - BABAESKİ EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"19,27";"";"6c7ca88e-6860-4a1a-89d2-1187c6ab417f | 9f845624-203a-4c0b-b6f9-20298289ac5f";"5e773d06-ae73-4dcb-a17d-11946c38efe9 | 7c2fce83-e0cc-4f36-8ffe-312dc221adb3";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-219.38"
"188";"400kV HAMİTABAT DGKÇ - KAPTANÇELİK EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-23,62";"";"8208f9a6-2f82-404e-8a1d-dce655a050d3 | 2e60a0a2-eacb-4509-9076-145644df2181";"c775e12f-453d-4e49-a015-f6a05b130f7d | 65f13609-7bc7-4970-b9a5-283522fcda40";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (57.99 MW).";"110.04 | -52.05"
"189";"400kV ZEKERİYAKÖY - PAŞAKÖY EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"c4b11a3b-078a-403f-9ed0-378e62099270 | 138a4dfb-ed1a-429d-8f71-e326c1ff19be";"755e1837-2733-4064-8c90-1c8bffc9bb39 | 689da116-84c3-48ed-9818-360d3603dbde";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (61.21 MW).";"770.48 | -709.27"
"190";"400kV HABİBLER - ADA2 DGKÇ EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"c54132ac-e0c6-4412-a7b7-21fb65d38658 | 3f755318-cca6-4567-8b4f-e3c7736a0e3a";"f32f602a-9193-47ce-a1b3-d6a7b5e2ba86 | e7c45005-ae87-49ac-b017-f9e9c9c6c8b5";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"589.79 | -552.39"
"191";"400kV ALİBEYKÖY - BEYKOZ EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-38,94";"";"2d909da5-7f4f-4bdb-aee9-a1a2d5945b95 | 9bed5d25-58eb-45e7-a07d-afec81550db8";"e06ead52-408f-4052-adc6-80fcf43faecb | 71db858d-0fec-4be4-b7ef-9b30385e550d";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (67.12 MW).";"-342.09 | 409.21"
"192";"400kV KÜÇÜKBAKKALKÖY - MALTEPE EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-50,24";"";"f39a6d14-bcf2-4b4f-b379-2f85e7e840f6 | a45c7dae-b8ec-4ef4-be3c-105822e30170";"573d3716-5f0b-47a1-a01d-98a176ee12bb | dcde8db2-7dc2-49e5-8481-aa234ea24a64";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"156.76"
"193";"400kV ATATÜRK HES - YEŞİLHİSAR - I (KUZEY) EİH";"400";"missing-source-row";"Aktif SCADA ID kaynak tabloda bulunamadi.";"1";"0";"";"";"";"d848f31a-f18e-4d05-a277-4f8f6bf82565";"c72ecae6-ab35-4fc1-8ecd-406160b771dc";"";"";""
"194";"400kV ATATÜRK HES - YEŞİLHİSAR - II (GÜNEY) EİH";"400";"missing-source-row";"Aktif SCADA ID kaynak tabloda bulunamadi.";"1";"0";"";"";"";"f03cc54e-b2fa-4c56-97ec-4d4614c1bfc8";"e28ba718-160e-4160-acb2-592512a9fbac";"";"";""
"195";"400kV İSTANBUL DGKÇ (A) - İSTANBUL F.OİL DGKÇ (B) EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"42a69ca6-92be-4d73-b054-cbe0eb1b4157 | c7ae8728-72a9-403a-b321-6cc701549c77";"e9284184-8286-4c2a-a18b-d2c17cd3c787 | 47f363d8-76ea-4799-9e4a-01b94fd9ff30";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"-8.84 | 26.12"
"196";"400kV ALİBEYKÖY - YILDIZTEPE EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"080a5eee-4f76-40dc-8616-88acba34cc6b | e2fdb62f-d11d-4c51-b0f8-c5bf10886ded";"9d5f5214-bbac-4cf2-8bad-cb52a991644d | 02f75557-fdee-40b5-a1bd-a495c97efa22";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"623.27"
"197";"400kV DAVUTPAŞA - YENİBOSNA EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"5b5a16c5-94f1-4e54-8c71-4fa4f72b5f71 | b494ca07-729e-425e-86c1-033a04440051";"51020a13-8968-482a-8f84-470bd180c2ca | 8e5caaa1-4b20-49ce-abfc-a11455e6fd13";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"243.77 | -225.86"
"198";"400kV HABİBLER - ZEKERİYAKÖY EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"daa1efdd-c4dd-4b9d-b1b4-bfdd66c83e31 | c9b69daf-1688-46fa-9e9b-b0db99634466";"1d5f7dcb-ed78-413c-bbdb-63f4f661fb2e | d9dc27a9-8076-495a-8cf8-5ce8ed4a8d16";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"-438.16 | 524.87"
"199";"400kV ÇAYIRHAN TES - SİNCAN EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"a07864c8-8935-40b4-8c07-db0ef1507d96 | b50407e1-bc2d-4fb8-8535-f297415bbd7e";"8525dec0-36cd-4060-a3a1-a44b86644306 | ab051e9d-1d48-4a7e-9ef9-c16ec4dd8d55";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"586.60"
"200";"400kV ERZİN - ERZİN DGKÇ EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"ee712d47-2330-4d15-a39d-38c755b4c447 | 847835f3-c8b0-44d9-9da7-207e9a1a4377";"2f45bbc9-81e5-490d-9883-ad599ad629f1 | 067a2e29-d591-46f2-a9fa-847d7023e93e";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"182.79 | -147.93"
"201";"400kV GÖYNÜK -> ADAPAZARI - AKSA GÖYNÜK TES EİH";"400";"missing-source-row";"Aktif SCADA ID kaynak tabloda bulunamadi.";"1";"0";"";"";"";"a118e54f-cb9d-4cef-8c50-011743477b39";"7b9e3ede-9fa1-4301-a412-faf5b980a0af";"";"";""
"202";"400kV DENİZLİ4 - RWE DENİZLİ DGKÇ - II EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"46,29";"";"32f5c613-f0b9-4d37-a624-c4fa2df7e31a | a197f5da-4f04-4302-a1d8-9d60a496c9dd";"fb4f0cbe-c426-4fa2-80d5-ef83cd3b01af | ffc6fc88-5b56-4203-bec5-3ef161cdff7b";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-62.86"
"203";"400kV ALTINKAYA HES - BOYABAT HES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"a8ff6bfa-eb1b-45c2-ae38-ea5ee10327ec | fcec76b3-4a74-4851-98e4-2c5e29298df7";"f18aa44c-9d45-4a74-974d-2ed8e11e34bd | a28af4bd-3fe7-4dbe-881c-5045d7ce24df";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"340.75 | -334.57"
"204";"400kV ÇOBANBEYLİ - TUFANBEYLİ TES EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"cde8aa61-2652-4118-a3b5-ed3c13d4a92a | 81a3a982-b56a-4587-997f-146ab7cc62c0";"9b4e2237-6bad-47a6-9c48-05bfc1837119 | 22525066-1719-4e19-998a-d2986fe9ab55";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-177.48"
"205";"400kV YEŞİLHİSAR - TUFANBEYLİ TES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"54c91c13-4f34-4c7d-8d9e-538143a4228f | a6aed9fc-6229-442d-a889-d54fd4dd54d9";"a9b09771-b18f-466c-af19-b67b54d47151 | 5d3d3c91-a2f9-4289-aa28-b16b35c09c6f";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (12.39 MW).";"405.63 | -393.24"
"206";"400kV TEPEÖREN - MAKİNA OSB EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"ba933e7e-4711-4f52-8bb8-751cc6bb581e | 9d999320-c82a-4646-a128-b74797af4363";"e00a5c0e-12c0-45a9-ad13-35a1e91ac4da | 2d4a7470-5c1d-4d4b-bea0-9a14b6dea12e";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (2.95 MW).";"36.17 | -33.21"
"207";"400kV AKSA GÖYNÜK TES - GÖKÇEKAYA HES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"80c61909-43c4-433e-81ce-05d24bf371b8 | ee95eda4-a026-4646-aa87-f05ef33d1dfd";"57eddaf4-11df-4a54-babc-2fc0398a67b2 | dfd01068-e603-4eb0-8322-a025971645ba";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (2.76 MW).";"-579.19 | 581.94"
"208";"400kV HATAY - ATLAS TES EİH";"400";"missing-source-row";"Aktif SCADA ID kaynak tabloda bulunamadi.";"2";"0";"";"2,56";"";"a87ca7f7-d655-40bd-9a3e-bebb1764d06c | ccbce844-5d81-4fb8-9ac2-ac2806dd4139";"e6909aae-7d91-473f-8e4d-504f326d8fd3 | 5b5f6955-779c-4569-bd76-472468d905fc";"";"";""
"209";"400kV ADAPAZARI - YUNUS EMRE TES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"38,02";"";"4aa5ba15-04d6-4097-9f92-bb96dd0e8249 | 88d98ab0-c7c6-482a-85bf-f51801ac9d8b";"97f56a74-1ef8-4f7e-bb27-5c80bb98ddb7 | 3105577e-30dc-433d-919f-5bdb29c066d1";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (53.60 MW).";"-754.46 | 808.05"
"210";"400kV TEMELLİ - YUNUS EMRE TES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"13,78";"";"ccefb2ce-6102-4ed1-8dc8-ab24d85d7f8d | a8c26e66-c04f-48b6-8b10-5f032b1ac190";"59584af7-a59e-4405-82e4-15de082f2429 | 7a7fb9c5-dd94-419b-b1f0-80869103245e";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (15.35 MW).";"788.55 | -773.20"
"211";"400kV ALTINKAYA HES - CENGİZ DGKÇ EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"53,73";"";"540936eb-2b5d-468f-a4ad-63ad3256103b | 13d83be5-0125-4f17-8d32-7fd2ff0a8967";"85dc4384-4647-4147-a18e-789dafbde97f | a9fe2bce-2d94-4323-b2b0-e7b8386f324b";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (14.45 MW).";"-283.57 | 298.02"
"212";"400kV ILICA ZEKİ GÜRGEN - AĞRI2 EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"0ad199bf-7c83-4688-ac24-2f0e3e450734 | bf15a350-99a0-4610-a467-73f9abefecd6";"06d192f0-c52c-4fe2-9490-63a6d66bc3c0 | eeb50d54-9f9a-45e4-8fee-04ab046475e8";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"151.12"
"213";"400kV BÖLÜCEK - OSMANCA EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-27,46";"";"36dd05ba-f86c-4166-8711-93b1a5971b88 | 084a60e8-345a-4972-9d9e-cf80cbd8c9e2";"dd50f566-3089-4389-ba4c-9ab86ab3c0a1 | aa564709-1a86-477e-99af-4983dba3b05f";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-52.73"
"214";"400kV KARTAL - MALTEPE EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-36,71";"";"35083fdf-e1dc-4342-ba1b-4d73d43f9723 | a872249d-5b71-47b5-b833-caabf3ab9cab";"fdac500b-97ca-42b4-9ea0-5e69db77cca5 | 59692d21-ded5-4929-8617-07faaa6bbaef";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (37.25 MW).";"230.46 | -193.22"
"215";"400kV BEYKENT OSB - ŞEHİTKAMİL OSB EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-50,98";"";"95dbd77b-0d8b-4893-a90a-79b975d13c33 | ca523862-1d3a-48ac-9829-7cd7f8e7c408";"018430f1-ac99-4f61-8ac5-7f392eada6e0 | c84036ef-22c2-488c-a99c-ab4f01a4963e";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"544.73"
"216";"400kV GELİBOLU - BEKİRLİ TES - I EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-36,56";"";"42887d16-1ec0-4f0b-a475-c0618c4d5e48 | 4baea747-d1ec-432c-b081-ac2fcb16dbdb";"c81169ce-269e-4db5-b347-621c9935b5d5 | 6e8d0bb0-6b69-4a78-add1-97049e4b3a02";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (27.34 MW).";"226.99 | -199.66"
"217";"400kV BİLGİN SAMSUN DGKÇ - ALTINORDU EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"71,38";"";"ff06f489-a307-4abd-b2bd-d66f9bf73667 | b2e0ef3e-33af-4302-817e-48db24c0594e";"8efc0552-aaf5-4dfe-95fe-3498db29f5d1 | c25834dd-a1fc-46fe-8cfc-86fcb799c66c";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"839.20"
"218";"400kV TİREBOLU - ALTINORDU EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"39,39";"";"76685f81-126d-4489-9851-1d07127eb93f | 84987cb3-0bb9-4a78-b8ae-8314602c94e2";"af258c68-5eab-4349-b892-d1ab98d921f7 | 83b6180b-e596-42ce-8c08-52e460dfc025";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (3.19 MW).";"-676.65 | 673.45"
"219";"400kV ATATÜRK HES -> BİRECİK HES - ZEUGMA EİH";"400";"missing-source-row";"Aktif SCADA ID kaynak tabloda bulunamadi.";"1";"0";"";"";"";"9048b486-93c5-4340-b5ff-e1041c042c4d";"23d04a45-4c3a-486d-9673-a01d1b889673";"";"";""
"220";"400kV ADAPAZARI - KOCAELİ - I EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"e219c8d3-8a63-47b1-b113-f084b7246d85 | 0295c9e9-d740-4116-9d5b-c3fd959f7780";"2383607b-9c71-497b-b3c9-0ef6d343da3e | e40be3ea-2e56-4ccc-b19d-11f9045be5ff";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"794.45 | -744.29"
"221";"400kV TEKİRDAĞ DGKÇ A - TÜRKGÜCÜ EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"b8d7ceeb-583d-414b-bce3-4eb7f1f2b3a4 | 2287f65b-2e38-4558-9df0-93c7499c0f77";"d25b4f54-e3ff-4bcf-81bd-1e251f6bf904 | 59ede58a-b242-40dd-95c1-67f15c2e6451";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"169.02 | -148.15"
