GERILIM REFERANS DEGERI ILETILEN BARANIN ADI:;BAYRAMHACILI_154;;;;;;;;
ILGILI BIRIMIN UNITELERININ NOMINAL AKTIF GUCU(Pnom):;23,5;23,5;;;;;;;
ILGILI BIRIMIN UNITELERININ ASIRI VE DUSUK ZORUNLU MVAR DEGERLERI (MVAR):;14,56;-7,72;14,56;-7,72;;;;;
VARSA ILGILI ANLASMA DAHILINDE SENKRON KOMPANSATOR HIZMET VEREBILEN UNITELERIN SENKRON KOMPASATOR DURUMUNDAKI ZORUNLU MVAR DEGERLERI (MVAR):;0;;;;;;;;
TARIH;SAAT;SIRA_NO;BARA_GER_kV;BARA_GER_SET_DEG_kV;TOP_REAKT_CIK_GUCU_MVAr;UNI_1_BIRIM_MKUD;UNI_2_BIRIM_MKUD;UNI_1_GEN_TER_AKT_CIK_GUCU_MW;UNI_2_GEN_TER_AKT_CIK_GUCU_MW
01.05.2026;10:51:00;652;159,614;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;10:52:00;653;160,684;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;10:53:00;654;160,416;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;10:54:00;655;160,523;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;10:55:00;656;160,684;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;10:56:00;657;160,737;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;10:57:00;658;160,951;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;10:58:00;659;160,363;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;10:59:00;660;160,202;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:00:00;661;159,668;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:01:00;662;159,400;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:02:00;663;159,614;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:03:00;664;160,470;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:04:00;665;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:05:00;666;159,454;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:06:00;667;159,614;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:07:00;668;159,400;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:08:00;669;160,416;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:09:00;670;159,881;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:10:00;671;160,202;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:11:00;672;159,454;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:12:00;673;160,897;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:13:00;674;160,416;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:14:00;675;160,363;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:15:00;676;158,919;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:16:00;677;159,079;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:17:00;678;158,545;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:18:00;679;158,759;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:19:00;680;159,079;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:20:00;681;159,935;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:21:00;682;159,721;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:22:00;683;159,400;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:23:00;684;160,630;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:24:00;685;159,988;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:25:00;686;159,828;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:26:00;687;160,202;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:27:00;688;160,202;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:28:00;689;159,347;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:29:00;690;160,416;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:30:00;691;159,828;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:31:00;692;158,759;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:32:00;693;157,743;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:33:00;694;159,133;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:34:00;695;159,293;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:35:00;696;158,919;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:36:00;697;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:37:00;698;160,363;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:38:00;699;159,133;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:39:00;700;159,614;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:40:00;701;159,561;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:41:00;702;159,721;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:42:00;703;160,202;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:43:00;704;159,721;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:44:00;705;159,614;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:45:00;706;159,026;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:46:00;707;158,491;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:47:00;708;159,079;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:48:00;709;159,026;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:49:00;710;159,293;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:50:00;711;159,668;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:51:00;712;159,079;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:52:00;713;159,935;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:53:00;714;159,079;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:54:00;715;160,256;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:55:00;716;160,256;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:56:00;717;160,149;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:57:00;718;160,256;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:58:00;719;160,470;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;11:59:00;720;160,202;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:00:00;721;160,737;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:01:00;722;160,630;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:02:00;723;160,202;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:03:00;724;160,149;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:04:00;725;160,202;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:05:00;726;160,951;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:06:00;727;160,630;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:07:00;728;160,363;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:08:00;729;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:09:00;730;160,790;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:10:00;731;160,897;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:11:00;732;160,897;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:12:00;733;161,218;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:13:00;734;160,790;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:14:00;735;160,256;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:15:00;736;159,561;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:16:00;737;160,790;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:17:00;738;160,737;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:18:00;739;161,058;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:19:00;740;160,737;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:20:00;741;161,325;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:21:00;742;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:22:00;743;160,416;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:23:00;744;160,523;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:24:00;745;160,897;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:25:00;746;161,004;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:26:00;747;161,004;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:27:00;748;161,593;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:28:00;749;162,288;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:29:00;750;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:30:00;751;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:31:00;752;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:32:00;753;160,897;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:33:00;754;161,432;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:34:00;755;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:35:00;756;162,127;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:36:00;757;161,593;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:37:00;758;161,004;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:38:00;759;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:39:00;760;161,218;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:40:00;761;161,593;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:41:00;762;160,897;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:42:00;763;161,806;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:43:00;764;162,234;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:44:00;765;161,753;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:45:00;766;161,272;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:46:00;767;161,806;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:47:00;768;161,325;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:48:00;769;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:49:00;770;162,662;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:50:00;771;161,325;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:51:00;772;162,074;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:52:00;773;162,127;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:53:00;774;162,234;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:54:00;775;161,967;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:55:00;776;162,020;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:56:00;777;161,967;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:57:00;778;161,218;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:58:00;779;162,074;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;12:59:00;780;162,395;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:00:00;781;161,325;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:01:00;782;161,593;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:02:00;783;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:03:00;784;161,753;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:04:00;785;162,662;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:05:00;786;162,662;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:06:00;787;160,951;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:07:00;788;161,806;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:08:00;789;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:09:00;790;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:10:00;791;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:11:00;792;161,593;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:12:00;793;162,609;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:13:00;794;162,395;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:14:00;795;162,234;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:15:00;796;162,020;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:16:00;797;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:17:00;798;161,860;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:18:00;799;162,020;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:19:00;800;161,860;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:20:00;801;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:21:00;802;162,074;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:22:00;803;161,753;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:23:00;804;161,325;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:24:00;805;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:25:00;806;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:26:00;807;161,272;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:27:00;808;161,272;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:28:00;809;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:29:00;810;162,395;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:30:00;811;161,272;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:31:00;812;161,753;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:32:00;813;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:33:00;814;161,325;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:34:00;815;161,486;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:35:00;816;161,432;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:36:00;817;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:37:00;818;162,074;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:38:00;819;162,502;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:39:00;820;162,234;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:40:00;821;160,790;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:41:00;822;161,218;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:42:00;823;160,684;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:43:00;824;160,790;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:44:00;825;161,165;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:45:00;826;160,416;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:46:00;827;159,828;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:47:00;828;160,256;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:48:00;829;160,630;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:49:00;830;160,470;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:50:00;831;160,256;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:51:00;832;159,988;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:52:00;833;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:53:00;834;160,256;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:54:00;835;159,186;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:55:00;836;159,347;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:56:00;837;159,828;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:57:00;838;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:58:00;839;160,149;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;13:59:00;840;160,416;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:00:00;841;159,400;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:01:00;842;159,881;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:02:00;843;159,079;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:03:00;844;158,919;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:04:00;845;158,224;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:05:00;846;158,491;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:06:00;847;159,721;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:07:00;848;159,614;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:08:00;849;159,614;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:09:00;850;159,454;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:10:00;851;158,919;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:11:00;852;158,117;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:12:00;853;158,759;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:13:00;854;158,010;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:14:00;855;158,491;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:15:00;856;157,956;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:16:00;857;158,598;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:17:00;858;159,561;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:18:00;859;159,828;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:19:00;860;159,561;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:20:00;861;159,614;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:21:00;862;160,523;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:22:00;863;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:23:00;864;160,149;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:24:00;865;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:25:00;866;160,416;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:26:00;867;160,737;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:27:00;868;161,218;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:28:00;869;160,523;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:29:00;870;160,684;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:30:00;871;159,561;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:31:00;872;159,614;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:32:00;873;159,293;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:33:00;874;159,828;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:34:00;875;159,133;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:35:00;876;158,812;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:36:00;877;159,400;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:37:00;878;158,491;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:38:00;879;159,881;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:39:00;880;159,828;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:40:00;881;159,186;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:41:00;882;159,347;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:42:00;883;160,737;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:43:00;884;160,737;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:44:00;885;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:45:00;886;159,828;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:46:00;887;160,470;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:47:00;888;160,737;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:48:00;889;160,202;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:49:00;890;160,630;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:50:00;891;160,256;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:51:00;892;159,454;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:52:00;893;158,759;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:53:00;894;159,454;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:54:00;895;159,133;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:55:00;896;157,850;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:56:00;897;158,063;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:57:00;898;158,384;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:58:00;899;160,256;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;14:59:00;900;160,523;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:00:00;901;159,614;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:01:00;902;160,630;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:02:00;903;159,828;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:03:00;904;161,004;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:04:00;905;160,256;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:05:00;906;160,684;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:06:00;907;161,806;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:07:00;908;161,860;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:08:00;909;160,630;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:09:00;910;162,020;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:10:00;911;161,486;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:11:00;912;161,218;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:12:00;913;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:13:00;914;160,951;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:14:00;915;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:15:00;916;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:16:00;917;161,272;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:17:00;918;160,202;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:18:00;919;161,753;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:19:00;920;161,218;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:20:00;921;160,470;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:21:00;922;161,058;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:22:00;923;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:23:00;924;160,790;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:24:00;925;161,325;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:25:00;926;161,058;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:26:00;927;161,325;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:27:00;928;161,753;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:28:00;929;161,272;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:29:00;930;161,272;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:30:00;931;161,058;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:31:00;932;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:32:00;933;161,058;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:33:00;934;161,218;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:34:00;935;161,432;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:35:00;936;161,432;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:36:00;937;162,234;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:37:00;938;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:38:00;939;160,790;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:39:00;940;161,058;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:40:00;941;160,951;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:41:00;942;161,218;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:42:00;943;160,897;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:43:00;944;161,004;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:44:00;945;161,432;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:45:00;946;160,523;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:46:00;947;159,988;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:47:00;948;160,470;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:48:00;949;160,790;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:49:00;950;161,272;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:50:00;951;160,149;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:51:00;952;161,325;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:52:00;953;161,058;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:53:00;954;161,004;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:54:00;955;160,737;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:55:00;956;160,951;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:56:00;957;161,058;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:57:00;958;161,218;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:58:00;959;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;15:59:00;960;161,486;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:00:00;961;161,432;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:01:00;962;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:02:00;963;160,897;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:03:00;964;160,202;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:04:00;965;160,202;158,000;0,000;14,100;14,100;0,000;0,000
