sep=;
Kaynak;Veri Tipi;Ölçüm Zamanı;YTM;Santral;YKS İç Bara ID;Bara ID;Bara Adı;TPYS Set;Canlı Bara;Pgen MW;Qgen MVAr;Yardımcı Kaynak MW;Yardımcı Kaynak MVAr;Yardımcı D.İ. Limit;Yardımcı A.İ. Limit;D.İ. Limit;A.İ. Limit;Ana Onay;Yardımcı Onay
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:20:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;157,73;41,64;-15,8;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:21:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;157,73;41,54;-15,8;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:22:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;157,73;41,74;-16,12;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:23:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,48;41,61;-16,15;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:24:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,48;41,73;-16,15;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:25:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,48;41,85;-16,15;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:26:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;157,5;41,73;-14,93;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:27:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;157,5;41,96;-14,93;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:28:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;157,5;41,82;-15,83;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:29:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;157,5;41,79;-16,24;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:30:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,82;-16,92;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:31:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,77;-16,55;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:32:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,82;-16,92;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:33:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,75;-16,89;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:34:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,98;-16,89;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:35:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,75;-17,16;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:36:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,82;-16,71;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:37:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,82;-16,71;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:38:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,69;-16,58;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:39:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,79;-16,64;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:40:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,85;-16,64;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:41:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,6;-15,96;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:42:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,83;-15,96;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:43:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,68;-15,96;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:44:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,76;-15,62;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:45:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,92;-15,94;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:46:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,61;-15,63;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:47:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,67;-15,28;;;;;-13,896;26,208;"=""1""";
