"Tur";"ID";"Ad";"TM";"kV";"SCADA ID";"Durum";"Neden";"Kaynak Zaman";"Birincil";"Ikincil";"Yuklenme (%)";"Direction Metric";"Direction Value";"Direction Source";"Formula Sign";"Orientation Match";"Alias Match Basis";"Resolution Method";"Candidate Slot";"Source Side";"Target Side";"Selected Candidate";"Backup Used";"Formula Sign Applied";"Orientation Rule";"Candidate Conflict"
"bara";"5116";"154 B-1";"KAPULUKAYA HES";"154";"49e97dcd-2965-4f98-80b9-b62b6b322239";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"159,48";"";"";"voltage";"159,48";"";"0";"unknown";"";"";"";"";"";"49e97dcd-2965-4f98-80b9-b62b6b322239";"";"0";"";""
"bara";"5117";"154 B-1";"KARAMAN";"154";"377660d5-c946-448c-9845-2b2c8b99264f";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"160,54";"";"";"voltage";"160,54";"";"0";"unknown";"";"";"";"";"";"377660d5-c946-448c-9845-2b2c8b99264f";"";"0";"";""
"bara";"5120";"154 B-1";"KARAMAN OSB";"154";"17b3c61f-59a8-42cd-856c-3813b99a8ad3";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"160,79";"";"";"voltage";"160,79";"";"0";"unknown";"";"";"";"";"";"17b3c61f-59a8-42cd-856c-3813b99a8ad3";"";"0";"";""
"bara";"5121";"154 B-2";"KARAMAN OSB";"154";"26dcb70c-436f-4214-9a39-1b48253e6e60";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"160,92";"";"";"voltage";"160,92";"";"0";"unknown";"";"";"";"";"";"26dcb70c-436f-4214-9a39-1b48253e6e60";"";"0";"";""
"bara";"5122";"154 B-1";"KARAPINAR";"154";"f948a948-c172-4fb2-a029-8e2ef42460ae";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"159,98";"";"";"voltage";"159,98";"";"0";"unknown";"";"";"";"";"";"f948a948-c172-4fb2-a029-8e2ef42460ae";"";"0";"";""
"bara";"5132";"154 B-1";"KAYSERİ2";"154";"6d7e60ca-88b7-45eb-8f4d-b32fc1ed0550";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"158,23";"";"";"voltage";"158,23";"";"0";"unknown";"";"";"";"";"";"6d7e60ca-88b7-45eb-8f4d-b32fc1ed0550";"";"0";"";""
"bara";"5133";"154 B-1";"KAYSERİ3";"154";"28509bab-68fc-476e-921d-db86c03c9509";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"157,77";"";"";"voltage";"157,77";"";"0";"unknown";"";"";"";"";"";"28509bab-68fc-476e-921d-db86c03c9509";"";"0";"";""
"bara";"5136";"154 B-1";"KAYSERİ KAPASİTÖR";"154";"3f6d1ae1-7fca-4d2a-b6e4-000ad2ff3b43";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"158,04";"";"";"voltage";"158,04";"";"0";"unknown";"";"";"";"";"";"3f6d1ae1-7fca-4d2a-b6e4-000ad2ff3b43";"";"0";"";""
"bara";"5142";"154 B-1";"KAZAN";"154";"5d4a7e15-f590-45d4-8681-9b29ed1e081f";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"158,66";"";"";"voltage";"158,66";"";"0";"unknown";"";"";"";"";"";"5d4a7e15-f590-45d4-8681-9b29ed1e081f";"";"0";"";""
"bara";"5143";"154 B-2";"KAZAN";"154";"";"missing-config-id";"Entity icin ilgili SCADA olcum ID tanimli degil.";"";"";"";"";"voltage";"";"";"0";"unknown";"";"";"";"";"";"";"";"";"";""
"bara";"5146";"154 B-1";"KESİKKÖPRÜ HES";"154";"be38b7ec-4370-4ad9-95ac-3b5325066a23";"missing-source-row";"Olcum ID kaynak sorguda bulunamadi.";"";"";"";"";"voltage";"";"";"0";"unknown";"";"";"";"";"";"";"";"";"";""
"bara";"5147";"154 B-2";"KESİKKÖPRÜ HES";"154";"";"missing-config-id";"Entity icin ilgili SCADA olcum ID tanimli degil.";"";"";"";"";"voltage";"";"";"0";"unknown";"";"";"";"";"";"";"";"";"";""
"bara";"5148";"154 B-1";"KIRIKKALE";"154";"05009dfa-c0a8-4269-8228-45fc47d308a9";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"155,94";"";"";"voltage";"155,94";"";"0";"unknown";"";"";"";"";"";"05009dfa-c0a8-4269-8228-45fc47d308a9";"";"0";"";""
"bara";"5153";"154 B-1";"KIRŞEHİR";"154";"3526e8d3-ccff-4d2d-8444-aa9a4e90f795";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"156,93";"";"";"voltage";"156,93";"";"0";"unknown";"";"";"";"";"";"3526e8d3-ccff-4d2d-8444-aa9a4e90f795";"";"0";"";""
"bara";"5157";"154 B-1";"KIZÖREN";"154";"2d2b89cd-a620-42c2-b26d-afbaf476d3e4";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"159,18";"";"";"voltage";"159,18";"";"0";"unknown";"";"";"";"";"";"2d2b89cd-a620-42c2-b26d-afbaf476d3e4";"";"0";"";""
"bara";"5158";"154 B-2";"KIZÖREN";"154";"";"missing-config-id";"Entity icin ilgili SCADA olcum ID tanimli degil.";"";"";"";"";"voltage";"";"";"0";"unknown";"";"";"";"";"";"";"";"";"";""
"bara";"5163";"154 B-1";"YAZIR";"154";"8b324c66-ecdb-474a-8f8c-aaeace09cc34";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"157,63";"";"";"voltage";"157,63";"";"0";"unknown";"";"";"";"";"";"8b324c66-ecdb-474a-8f8c-aaeace09cc34";"";"0";"";""
"bara";"5166";"154 B-1";"KAYACIK";"154";"a20f3ac7-565d-439d-b879-ee66517fe666";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"158,51";"";"";"voltage";"158,51";"";"0";"unknown";"";"";"";"";"";"a20f3ac7-565d-439d-b879-ee66517fe666";"";"0";"";""
"bara";"5171";"154 B-1";"KARATAY";"154";"5f073f22-6d13-41e0-b3da-ea6309c9bf2f";"matched-stale";"Kaynak satir bulundu ancak veri stale durumda.";"20.04.2026 23:22:00";"158,43";"";"";"voltage";"158,43";"";"0";"unknown";"";"";"";"";"";"5f073f22-6d13-41e0-b3da-ea6309c9bf2f";"";"0";"";""
"bara";"5172";"154 B-2";"KARATAY";"154";"fb39ccd7-ec1a-4f21-a934-cbed4545674c";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"158,37";"";"";"voltage";"158,37";"";"0";"unknown";"";"";"";"";"";"fb39ccd7-ec1a-4f21-a934-cbed4545674c";"";"0";"";""
"bara";"5177";"154 B-1";"LADİK";"154";"3757a4c1-41db-4970-be57-64022c4553b6";"missing-source-row";"Olcum ID kaynak sorguda bulunamadi.";"";"";"";"";"voltage";"";"";"0";"unknown";"";"";"";"";"";"";"";"";"";""
"bara";"5181";"154 B-1";"MACUNKÖY";"154";"4b6ec56d-906d-47f7-aba6-6f87ba7c7623";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"157,68";"";"";"voltage";"157,68";"";"0";"unknown";"";"";"";"";"";"4b6ec56d-906d-47f7-aba6-6f87ba7c7623";"";"0";"";""
"bara";"5182";"154 B-2";"MACUNKÖY";"154";"8564fe7b-a07a-4bda-a64c-f512d908f364";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"157,32";"";"";"voltage";"157,32";"";"0";"unknown";"";"";"";"";"";"8564fe7b-a07a-4bda-a64c-f512d908f364";"";"0";"";""
"bara";"5183";"154 B-1";"MALTEPE ANKARA";"154";"340ec148-88e0-466e-a751-87c7ce1536fb";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"158,92";"";"";"voltage";"158,92";"";"0";"unknown";"";"";"";"";"";"340ec148-88e0-466e-a751-87c7ce1536fb";"";"0";"";""
"bara";"5184";"154 B-2";"MALTEPE ANKARA";"154";"ad9968ec-ab2b-44dd-9514-7cd6f233566f";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"158,75";"";"";"voltage";"158,75";"";"0";"unknown";"";"";"";"";"";"ad9968ec-ab2b-44dd-9514-7cd6f233566f";"";"0";"";""
"bara";"5189";"154 B-1";"MAMAK";"154";"8082a50c-a9fe-4a2b-a1df-2495e72d364f";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"157,29";"";"";"voltage";"157,29";"";"0";"unknown";"";"";"";"";"";"8082a50c-a9fe-4a2b-a1df-2495e72d364f";"";"0";"";""
"bara";"5194";"154 B-1";"MİSLİOVA";"154";"41072a42-4202-4ba6-888a-4371a6b6b893";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"160,02";"";"";"voltage";"160,02";"";"0";"unknown";"";"";"";"";"";"41072a42-4202-4ba6-888a-4371a6b6b893";"";"0";"";""
"bara";"5195";"154 B-2";"MİSLİOVA";"154";"";"missing-config-id";"Entity icin ilgili SCADA olcum ID tanimli degil.";"";"";"";"";"voltage";"";"";"0";"unknown";"";"";"";"";"";"";"";"";"";""
"bara";"5196";"154 B-1";"NEVŞEHİR";"154";"a28f9f12-c3cc-40d0-9d33-f97480eb9a70";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"159,65";"";"";"voltage";"159,65";"";"0";"unknown";"";"";"";"";"";"a28f9f12-c3cc-40d0-9d33-f97480eb9a70";"";"0";"";""
"bara";"5198";"154 B-1";"NİĞDE";"154";"c2fc3d3b-c529-4a3b-a46f-164752b07b88";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"159,17";"";"";"voltage";"159,17";"";"0";"unknown";"";"";"";"";"";"c2fc3d3b-c529-4a3b-a46f-164752b07b88";"";"0";"";""
"bara";"5200";"154 B-1";"OSTİM OSB";"154";"b251faca-86c2-4958-8eab-6760e06db09e";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"158,47";"";"";"voltage";"158,47";"";"0";"unknown";"";"";"";"";"";"b251faca-86c2-4958-8eab-6760e06db09e";"";"0";"";""
"bara";"5202";"154 B-1";"OVACIK";"154";"";"missing-config-id";"Entity icin ilgili SCADA olcum ID tanimli degil.";"";"";"";"";"voltage";"";"";"0";"unknown";"";"";"";"";"";"";"";"";"";""
"bara";"5203";"154 B-2";"OVACIK";"154";"8e4fe0e9-5ccc-4502-a2b8-16a452a1dfa2";"matched-stale";"Kaynak satir bulundu ancak veri stale durumda.";"20.04.2026 23:22:00";"157,22";"";"";"voltage";"157,22";"";"0";"unknown";"";"";"";"";"";"8e4fe0e9-5ccc-4502-a2b8-16a452a1dfa2";"";"0";"";""
"bara";"5206";"154 B-1";"PETLAS";"154";"580d7931-318a-4dbf-af7b-9864121b01db";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"157,71";"";"";"voltage";"157,71";"";"0";"unknown";"";"";"";"";"";"580d7931-318a-4dbf-af7b-9864121b01db";"";"0";"";""
"bara";"5209";"154 B-1";"POLATLI";"154";"8484f91e-5e70-4e29-ac6e-10639cf7ba63";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"155,15";"";"";"voltage";"155,15";"";"0";"unknown";"";"";"";"";"";"8484f91e-5e70-4e29-ac6e-10639cf7ba63";"";"0";"";""
"bara";"5212";"154 B-1";"ŞEREFLİKOÇHİSAR";"154";"56944184-3047-4e67-9259-3fdd526ca202";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"159,10";"";"";"voltage";"159,10";"";"0";"unknown";"";"";"";"";"";"56944184-3047-4e67-9259-3fdd526ca202";"";"0";"";""
"bara";"5213";"154 B-1";"SARIYAR HES";"154";"517c8c51-d348-4c43-ac9b-8f8d68c6e3a1";"matched-stale";"Kaynak satir bulundu ancak veri stale durumda.";"20.04.2026 23:21:00";"155,55";"";"";"voltage";"155,55";"";"0";"unknown";"";"";"";"";"";"517c8c51-d348-4c43-ac9b-8f8d68c6e3a1";"";"0";"";""
"bara";"5215";"154 B-1";"ŞARKIŞLA";"154";"93598fe4-a9b6-44f8-9328-79e957df6143";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"159,81";"";"";"voltage";"159,81";"";"0";"unknown";"";"";"";"";"";"93598fe4-a9b6-44f8-9328-79e957df6143";"";"0";"";""
"bara";"5217";"154 B-1";"SENDİREMEKE";"154";"eba8e9cb-1798-4996-95f2-1203ff968870";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"159,72";"";"";"voltage";"159,72";"";"0";"unknown";"";"";"";"";"";"eba8e9cb-1798-4996-95f2-1203ff968870";"";"0";"";""
"bara";"5223";"154 B-1A";"SİNCAN";"154";"297e1499-aab5-4fb8-8522-cd71cec6bd66";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"158,10";"";"";"voltage";"158,10";"";"0";"unknown";"";"";"";"";"";"297e1499-aab5-4fb8-8522-cd71cec6bd66";"";"0";"";""
"bara";"5224";"154 B-1B";"SİNCAN";"154";"";"missing-config-id";"Entity icin ilgili SCADA olcum ID tanimli degil.";"";"";"";"";"voltage";"";"";"0";"unknown";"";"";"";"";"";"";"";"";"";""
"bara";"5225";"154 B-1";"SIZIR";"154";"3e500889-bf3c-4690-904b-5d0814398128";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"160,94";"";"";"voltage";"160,94";"";"0";"unknown";"";"";"";"";"";"3e500889-bf3c-4690-904b-5d0814398128";"";"0";"";""
"bara";"5229";"154 B-1";"SORGUN";"154";"b1c460be-2217-4a43-a046-2bfe70f06ac7";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"160,15";"";"";"voltage";"160,15";"";"0";"unknown";"";"";"";"";"";"b1c460be-2217-4a43-a046-2bfe70f06ac7";"";"0";"";""
"bara";"5231";"154 B-1";"TAKSAN";"154";"23b3717b-6eeb-4ec7-a07a-4e060e266f28";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"158,41";"";"";"voltage";"158,41";"";"0";"unknown";"";"";"";"";"";"23b3717b-6eeb-4ec7-a07a-4e060e266f28";"";"0";"";""
"bara";"5234";"154 B-1";"TEMELLİ";"154";"bd584611-b5db-4d74-8b7d-3cebf43cdced";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"156,09";"";"";"voltage";"156,09";"";"0";"unknown";"";"";"";"";"";"bd584611-b5db-4d74-8b7d-3cebf43cdced";"";"0";"";""
"bara";"5235";"154 B-2";"TEMELLİ";"154";"53aeb0f8-eb6e-41a0-8f8a-46e6642e5a1a";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"155,53";"";"";"voltage";"155,53";"";"0";"unknown";"";"";"";"";"";"53aeb0f8-eb6e-41a0-8f8a-46e6642e5a1a";"";"0";"";""
"bara";"5236";"154 B-1";"TÜMOSAN";"154";"35de62e5-737b-4c06-a71c-56b8e0bf0f47";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"156,73";"";"";"voltage";"156,73";"";"0";"unknown";"";"";"";"";"";"35de62e5-737b-4c06-a71c-56b8e0bf0f47";"";"0";"";""
"bara";"5238";"154 B-1";"ÜMİTKÖY";"154";"71db7f73-840d-43d3-bd37-493d4a203ceb";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"155,81";"";"";"voltage";"155,81";"";"0";"unknown";"";"";"";"";"";"71db7f73-840d-43d3-bd37-493d4a203ceb";"";"0";"";""
"bara";"5241";"154 B-1";"YAMULA HES";"154";"4842a086-c939-435f-9cf0-c0f1aefaf226";"matched-stale";"Kaynak satir bulundu ancak veri stale durumda.";"20.04.2026 23:22:00";"160,01";"";"";"voltage";"160,01";"";"0";"unknown";"";"";"";"";"";"4842a086-c939-435f-9cf0-c0f1aefaf226";"";"0";"";""
"bara";"5242";"154 B-2";"YAMULA HES";"154";"";"missing-config-id";"Entity icin ilgili SCADA olcum ID tanimli degil.";"";"";"";"";"voltage";"";"";"0";"unknown";"";"";"";"";"";"";"";"";"";""
"bara";"5245";"154 B-1";"YEŞİLHİSAR";"154";"9019da4a-0a74-4029-9418-9cbfc85a730c";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"157,56";"";"";"voltage";"157,56";"";"0";"unknown";"";"";"";"";"";"9019da4a-0a74-4029-9418-9cbfc85a730c";"";"0";"";""
"bara";"5246";"154 B-2";"YEŞİLHİSAR";"154";"";"missing-config-id";"Entity icin ilgili SCADA olcum ID tanimli degil.";"";"";"";"";"voltage";"";"";"0";"unknown";"";"";"";"";"";"";"";"";"";""
"bara";"5248";"154 B-1";"YİBİTAŞ";"154";"d5d98d8b-ce1b-42a2-924d-c7c285ab91db";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"160,04";"";"";"voltage";"160,04";"";"0";"unknown";"";"";"";"";"";"d5d98d8b-ce1b-42a2-924d-c7c285ab91db";"";"0";"";""
"bara";"5251";"154 B-1";"YILDIZ";"154";"31d0378c-1b80-4728-8b4a-429edf091da8";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"154,85";"";"";"voltage";"154,85";"";"0";"unknown";"";"";"";"";"";"31d0378c-1b80-4728-8b4a-429edf091da8";"";"0";"";""
"bara";"5256";"154 B-1";"YOZGAT";"154";"80f69f62-b56f-43d8-9b12-d7e270400fa5";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"159,78";"";"";"voltage";"159,78";"";"0";"unknown";"";"";"";"";"";"80f69f62-b56f-43d8-9b12-d7e270400fa5";"";"0";"";""
"bara";"5263";"400 B-1";"BAĞLUM";"400";"5b8c00ec-89e2-486f-9e46-0a04b7b8c36d";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"405,26";"";"";"voltage";"405,26";"";"0";"unknown";"";"";"";"";"";"5b8c00ec-89e2-486f-9e46-0a04b7b8c36d";"";"0";"";""
"bara";"5264";"400 B1-A";"ÇAYIRHAN TES";"400";"813a5063-31c1-4547-ae61-2d04701ef1e3";"matched-stale";"Kaynak satir bulundu ancak veri stale durumda.";"20.04.2026 23:21:00";"400,95";"";"";"voltage";"400,95";"";"0";"unknown";"";"";"";"";"";"813a5063-31c1-4547-ae61-2d04701ef1e3";"";"0";"";""
"bara";"5265";"400 B-1";"GÖKÇEKAYA HES";"400";"3d7120c6-c24d-4a0e-b850-24fd47741105";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"404,71";"";"";"voltage";"404,71";"";"0";"unknown";"";"";"";"";"";"3d7120c6-c24d-4a0e-b850-24fd47741105";"";"0";"";""
"bara";"5268";"400 B-1";"GÖLBAŞI";"400";"29f1e8c2-c217-477e-8663-e41a5e35ed00";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"406,96";"";"";"voltage";"406,96";"";"0";"unknown";"";"";"";"";"";"29f1e8c2-c217-477e-8663-e41a5e35ed00";"";"0";"";""
"bara";"5269";"400 B-1";"EREĞLİ KONYA";"400";"3a65dfc8-d20b-486d-b27b-33723bab6c83";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"411,03";"";"";"voltage";"411,03";"";"0";"unknown";"";"";"";"";"";"3a65dfc8-d20b-486d-b27b-33723bab6c83";"";"0";"";""
"bara";"5274";"400 B-1";"KAYSERİ KAPASİTÖR";"400";"ecb61650-9957-42bf-ae70-cd6b74823cb2";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"407,04";"";"";"voltage";"407,04";"";"0";"unknown";"";"";"";"";"";"ecb61650-9957-42bf-ae70-cd6b74823cb2";"";"0";"";""
"bara";"5276";"400 B-1";"KARATAY";"400";"c1d6e195-bf25-4bfe-861a-23252dbd7cc1";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"409,02";"";"";"voltage";"409,02";"";"0";"unknown";"";"";"";"";"";"c1d6e195-bf25-4bfe-861a-23252dbd7cc1";"";"0";"";""
"bara";"5279";"400 B-1";"SİNCAN";"400";"bbbe7d72-b4be-4272-9566-450edb154497";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"406,60";"";"";"voltage";"406,60";"";"0";"unknown";"";"";"";"";"";"bbbe7d72-b4be-4272-9566-450edb154497";"";"0";"";""
"bara";"5284";"400 B-1";"TEMELLİ";"400";"6d092708-deaa-498f-9a18-adda4acbb5a2";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"403,33";"";"";"voltage";"403,33";"";"0";"unknown";"";"";"";"";"";"6d092708-deaa-498f-9a18-adda4acbb5a2";"";"0";"";""
"bara";"5295";"400 B-1";"YEŞİLHİSAR";"400";"44262063-4b3e-4943-804f-76f6384f15f4";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"408,85";"";"";"voltage";"408,85";"";"0";"unknown";"";"";"";"";"";"44262063-4b3e-4943-804f-76f6384f15f4";"";"0";"";""
"bara";"5296";"154 B-1";"ALİBEY HÖYÜĞÜ";"154";"8408b6ef-ab6e-48f2-ad6d-a5a88464850e";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"156,11";"";"";"voltage";"156,11";"";"0";"unknown";"";"";"";"";"";"8408b6ef-ab6e-48f2-ad6d-a5a88464850e";"";"0";"";""
"bara";"5300";"154 B-1";"AKDAĞ MADENİ";"154";"bbf961dd-d046-4132-ac87-07b97eda0ec3";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"161,68";"";"";"voltage";"161,68";"";"0";"unknown";"";"";"";"";"";"bbf961dd-d046-4132-ac87-07b97eda0ec3";"";"0";"";""
"bara";"5310";"154 B-1";"ANKARA SANAYİ";"154";"59e89a13-68b8-43e6-9f79-29574438bc79";"matched-stale";"Kaynak satir bulundu ancak veri stale durumda.";"20.04.2026 23:22:00";"158,00";"";"";"voltage";"158,00";"";"0";"unknown";"";"";"";"";"";"59e89a13-68b8-43e6-9f79-29574438bc79";"";"0";"";""
"bara";"5316";"154 B-1";"BAĞLUM";"154";"22f1eba2-9a98-4967-affe-53575ee3e016";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"157,38";"";"";"voltage";"157,38";"";"0";"unknown";"";"";"";"";"";"22f1eba2-9a98-4967-affe-53575ee3e016";"";"0";"";""
"bara";"5317";"154 B-2";"BAĞLUM";"154";"a48d1dca-0e53-488f-a96f-346a1bb95bdc";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"157,39";"";"";"voltage";"157,39";"";"0";"unknown";"";"";"";"";"";"a48d1dca-0e53-488f-a96f-346a1bb95bdc";"";"0";"";""
"bara";"5318";"154 B-1";"BALGAT";"154";"6dee298f-2160-47d6-b590-4a6900bc5a40";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"155,81";"";"";"voltage";"155,81";"";"0";"unknown";"";"";"";"";"";"6dee298f-2160-47d6-b590-4a6900bc5a40";"";"0";"";""
"bara";"5322";"154 B-1";"BAŞTAŞ";"154";"ecc8a17a-bd1c-4636-951d-88536e9dc1db";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"157,89";"";"";"voltage";"157,89";"";"0";"unknown";"";"";"";"";"";"ecc8a17a-bd1c-4636-951d-88536e9dc1db";"";"0";"";""
