"Tur";"ID";"Ad";"TM";"kV";"SCADA ID";"Durum";"Neden";"Kaynak Zaman";"Birincil";"Ikincil";"Yuklenme (%)";"Direction Metric";"Direction Value";"Direction Source";"Formula Sign";"Orientation Match";"Alias Match Basis";"Resolution Method";"Candidate Slot";"Source Side";"Target Side";"Selected Candidate";"Backup Used";"Formula Sign Applied";"Orientation Rule";"Candidate Conflict"
"bara";"5095";"154 B-1A";"GÖLBAŞI";"154";"";"missing-config-id";"Entity icin ilgili SCADA olcum ID tanimli degil.";"";"";"";"";"voltage";"";"";"0";"unknown";"";"";"";"";"";"";"";"";"";""
"bara";"5096";"154 B-1";"HACILAR";"154";"25804f0e-2b17-42dd-ad27-d06f59d751c0";"matched-stale";"Kaynak satir bulundu ancak veri stale durumda.";"20.04.2026 23:22:00";"158,10";"";"";"voltage";"158,10";"";"0";"unknown";"";"";"";"";"";"25804f0e-2b17-42dd-ad27-d06f59d751c0";"";"0";"";""
"bara";"5100";"154 B-1";"HASKÖY";"154";"7d71eca1-35cf-4ad9-9284-56c04e44ab31";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"156,59";"";"";"voltage";"156,59";"";"0";"unknown";"";"";"";"";"";"7d71eca1-35cf-4ad9-9284-56c04e44ab31";"";"0";"";""
"bara";"5101";"154 B-2";"HASKÖY";"154";"74eb13a2-6817-48ee-af14-099cfc25c878";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"157,28";"";"";"voltage";"157,28";"";"0";"unknown";"";"";"";"";"";"74eb13a2-6817-48ee-af14-099cfc25c878";"";"0";"";""
"bara";"5103";"154 B-1";"HİRFANLI HES";"154";"ba82ec3f-b062-4a66-9fe4-b0d77c23f4d7";"matched-stale";"Kaynak satir bulundu ancak veri stale durumda.";"20.04.2026 14:50:00";"154,00";"";"";"voltage";"154,00";"";"0";"unknown";"";"";"";"";"";"ba82ec3f-b062-4a66-9fe4-b0d77c23f4d7";"";"0";"";""
"bara";"5107";"154 B-1";"İMRAHOR";"154";"db1b1d72-66f6-429c-a2a8-740f5906f95d";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"158,15";"";"";"voltage";"158,15";"";"0";"unknown";"";"";"";"";"";"db1b1d72-66f6-429c-a2a8-740f5906f95d";"";"0";"";""
"bara";"5108";"154 B-2";"İMRAHOR";"154";"408068b0-2e42-4773-b80d-ec99ad463a6b";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"158,38";"";"";"voltage";"158,38";"";"0";"unknown";"";"";"";"";"";"408068b0-2e42-4773-b80d-ec99ad463a6b";"";"0";"";""
"bara";"5109";"154 B-1";"EREĞLİ KONYA";"154";"b16c2ba9-c0e6-4eb5-88d1-4425d6e37556";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"160,01";"";"";"voltage";"160,01";"";"0";"unknown";"";"";"";"";"";"b16c2ba9-c0e6-4eb5-88d1-4425d6e37556";"";"0";"";""
"bara";"5111";"154 B-1";"KALABA";"154";"1e88a544-7288-4903-a1a9-73e60ea4d9ef";"matched-stale";"Kaynak satir bulundu ancak veri stale durumda.";"20.04.2026 23:22:00";"159,35";"";"";"voltage";"159,35";"";"0";"unknown";"";"";"";"";"";"1e88a544-7288-4903-a1a9-73e60ea4d9ef";"";"0";"";""
"bara";"5114";"154 B-1";"KALECİK";"154";"46f410fc-3656-4a45-ae00-b23972e03197";"matched-live";"Kaynak satir tekil olarak eslesti.";"20.04.2026 23:23:00";"158,35";"";"";"voltage";"158,35";"";"0";"unknown";"";"";"";"";"";"46f410fc-3656-4a45-ae00-b23972e03197";"";"0";"";""
