"Sira";"Trafo";"TM";"Tip";"MW";"MVAR";"Yuklenme (%)"
"100";"TR-B";"NİĞDE OSB";"Dağıtım Trafosu";"-25,98";"1,01";"25,98"
"101";"TR-A";"TUZGÖLÜ GEÇİCİ";"Dağıtım Trafosu";"-15,86";"-0,53";"25,38"
"102";"TR-B";"KONYA OSB";"Dağıtım Trafosu";"-24,98";"2,66";"24,98"
"103";"TR-B";"ÇAMLICA1 HES";"Dağıtım Trafosu";"24,79";"0,01";"24,79"
"104";"TR-B";"SIZIR";"Dağıtım Trafosu";"15,12";"-0,06";"24,19"
"105";"TR-B";"ERYAMAN";"Dağıtım Trafosu";"-24,12";"2,78";"24,12"
"106";"TR-A";"POLATLI ÇİMENTO";"Dağıtım Trafosu";"-9,64";"-0,54";"24,10"
"107";"TR-B";"OVACIK";"Dağıtım Trafosu";"-24,05";"1,82";"24,05"
"108";"TR-B";"KAYSERİ3";"Dağıtım Trafosu";"-24,01";"0,98";"24,01"
"109";"TR";"KIRDEMİR";"Dağıtım Trafosu";"-15,01";"-0,63";"23,83"
"110";"TR-B";"KARATAY";"Dağıtım Trafosu";"23,73";"0,08";"23,73"
"111";"TR-A";"ALİBEY HÖYÜĞÜ";"Dağıtım Trafosu";"23,17";"-1,96";"23,17"
"112";"TR-B";"KAYSERİ4";"Dağıtım Trafosu";"-23,11";"0,90";"23,11"
"113";"MOBİL TR";"ASELSAN MOBİL";"Dağıtım Trafosu";"11,26";"-0,53";"22,52"
"114";"TR-A";"SELÇUKLU";"Dağıtım Trafosu";"-22,50";"3,65";"22,50"
"115";"TR-A";"AKKÖPRÜ";"Dağıtım Trafosu";"-22,45";"0,89";"22,45"
"116";"TR-B";"BAĞLAR RES";"Dağıtım Trafosu";"-13,60";"0,57";"21,76"
"117";"TR-A";"ANKARA SANAYİ";"Dağıtım Trafosu";"21,56";"-1,82";"21,56"
"118";"TR-A";"BAŞTAŞ";"Dağıtım Trafosu";"-20,99";"-1,44";"20,99"
"119";"TR-A";"ÜMİTKÖY";"Dağıtım Trafosu";"-20,95";"-1,86";"20,95"
"120";"TR-B";"BAŞTAŞ";"Dağıtım Trafosu";"-20,90";"2,24";"20,90"
"121";"TR-B";"ATAHAN GES";"Dağıtım Trafosu";"-12,54";"4,54";"20,06"
"122";"TR-A";"POLATLI";"Dağıtım Trafosu";"-20,04";"1,84";"20,04"
"123";"TR-A";"UĞURLU GES";"Dağıtım Trafosu";"12,35";"0,65";"19,77"
"124";"TR-B";"AKYURT";"Dağıtım Trafosu";"-12,15";"1,94";"19,44"
"125";"TR-B";"UĞURLU GES";"Dağıtım Trafosu";"12,09";"-0,20";"19,34"
"126";"TR-A";"KAYACIK";"Dağıtım Trafosu";"-19,18";"1,32";"19,18"
"127";"TR-A";"ATAHAN GES";"Dağıtım Trafosu";"-11,93";"4,03";"19,09"
"128";"TR-A";"HACILAR";"Dağıtım Trafosu";"11,89";"-0,80";"19,02"
"129";"TR-B";"YOZGAT";"Dağıtım Trafosu";"-11,88";"1,20";"19,01"
"130";"TR-B";"KAZAN";"Dağıtım Trafosu";"-18,78";"-0,96";"18,78"
"131";"TR-B";"BİLKENT";"Dağıtım Trafosu";"-18,64";"-0,95";"18,64"
"132";"TR-C";"MERAM GİS";"Dağıtım Trafosu";"-18,52";"3,60";"18,52"
"133";"TR-A";"AVANOS2";"Dağıtım Trafosu";"-17,87";"-0,20";"17,87"
"134";"TR-A";"KIRŞEHİR";"Dağıtım Trafosu";"-17,71";"2,44";"17,71"
"135";"TR-C";"YILDIZ";"Dağıtım Trafosu";"-17,70";"2,18";"17,70"
"136";"TR-A";"BOR OSB";"Dağıtım Trafosu";"-17,54";"1,20";"17,54"
"137";"TR-B";"NEVŞEHİR";"Dağıtım Trafosu";"-17,51";"3,73";"17,51"
"138";"TR-A";"EREĞLİ KONYA";"Dağıtım Trafosu";"-17,36";"1,39";"17,36"
"139";"TR-A";"KONYA OSB";"Dağıtım Trafosu";"-17,19";"2,71";"17,19"
"140";"TR-C";"TEMELLİ";"Dağıtım Trafosu";"-16,78";"-3,09";"16,78"
"141";"TR-A";"ALAKOVA";"Dağıtım Trafosu";"-16,55";"3,44";"16,55"
"142";"TR-A";"NİĞDE OSB";"Dağıtım Trafosu";"-16,48";"0,62";"16,48"
"143";"TR-A";"GEYCEK RES";"Dağıtım Trafosu";"-16,46";"1,52";"16,46"
"144";"TR-B";"GEYCEK RES";"Dağıtım Trafosu";"-16,32";"2,20";"16,32"
"145";"TR-A";"LADİK";"Dağıtım Trafosu";"9,90";"3,10";"15,84"
"146";"TR-A";"OSTİM OSB";"Dağıtım Trafosu";"-15,54";"-0,84";"15,54"
"147";"TR-A";"KARAMAN OSB";"Dağıtım Trafosu";"-15,54";"3,27";"15,54"
"148";"TR-B";"MERAM GİS";"Dağıtım Trafosu";"-14,91";"1,40";"14,91"
"149";"TR-C";"KIRIKKALE";"Dağıtım Trafosu";"-9,22";"-0,39";"14,75"
"150";"TR-B";"YAZIR";"Dağıtım Trafosu";"-14,38";"3,83";"14,38"
"151";"TR-A";"KÜTÜKLÜ GEÇİCİ";"Dağıtım Trafosu";"-8,84";"1,37";"14,15"
"152";"TR-D";"PETLAS";"Dağıtım Trafosu";"8,74";"0,46";"13,99"
"153";"TR-C";"PETLAS";"Dağıtım Trafosu";"8,69";"0,34";"13,90"
"154";"TR-A";"KIRIKKALE";"Dağıtım Trafosu";"-13,40";"3,77";"13,40"
"155";"TR-A";"AKSARAY OSB";"Dağıtım Trafosu";"-12,68";"1,66";"12,68"
"156";"TR-B";"HOTAMIŞ";"Dağıtım Trafosu";"12,17";"0,32";"12,17"
"157";"TR-A";"SIZIR";"Dağıtım Trafosu";"7,57";"0,44";"12,11"
"158";"TR-A";"MERAM GİS";"Dağıtım Trafosu";"-11,95";"1,18";"11,95"
"159";"TR-B";"ARDIÇLI RES";"Dağıtım Trafosu";"-7,45";"1,41";"11,92"
"160";"TR-B";"SÖNMEZ GES";"Dağıtım Trafosu";"-7,39";"1,14";"11,82"
"161";"TR-A";"TEKSİN GES";"Dağıtım Trafosu";"-7,30";"1,48";"11,67"
"162";"TR-B";"OSTİM OSB";"Dağıtım Trafosu";"-11,60";"0,75";"11,60"
"163";"TR-A";"SÖNMEZ GES";"Dağıtım Trafosu";"-7,25";"1,27";"11,60"
"164";"TR-B";"ERCİYES RES";"Dağıtım Trafosu";"-8,46";"-0,91";"11,28"
"165";"TR-A";"KALABA";"Dağıtım Trafosu";"-6,90";"-1,40";"11,03"
"166";"TR-A";"ARDIÇLI RES";"Dağıtım Trafosu";"-6,89";"0,55";"11,02"
"167";"TR-B";"KAYAŞ";"Dağıtım Trafosu";"-6,86";"0,55";"10,98"
"168";"TR-B";"YİBİTAŞ";"Dağıtım Trafosu";"-6,86";"0,98";"10,98"
"169";"TR-B";"NİĞDE";"Dağıtım Trafosu";"-10,78";"2,42";"10,78"
"170";"TR-B";"ŞARKIŞLA";"Dağıtım Trafosu";"6,31";"0,72";"10,10"
"171";"TR-A";"KAZAN";"Dağıtım Trafosu";"-10,06";"1,07";"10,06"
"172";"TR-B";"BOZOK";"Dağıtım Trafosu";"6,17";"0,91";"9,87"
"173";"TR-A";"MALTEPE ANKARA";"Dağıtım Trafosu";"-2,33";"-0,13";"9,30"
"174";"TR-B";"TÜMOSAN";"Dağıtım Trafosu";"-9,05";"1,80";"9,05"
"175";"TR-A";"DİANA OTEL GES";"Dağıtım Trafosu";"5,63";"-";"9,00"
"176";"TR-A";"ŞARKIŞLA";"Dağıtım Trafosu";"5,55";"0,02";"8,89"
"177";"TR-A";"CİHANBEYLİ";"Dağıtım Trafosu";"-8,77";"-0,73";"8,77"
"178";"TR-D";"ÇİNKUR";"Dağıtım Trafosu";"-8,55";"-0,09";"8,55"
"179";"TR-D";"KIRIKKALE";"Dağıtım Trafosu";"-5,34";"0,01";"8,54"
"180";"TR-B";"ÜRGÜP";"Dağıtım Trafosu";"-5,31";"-0,08";"8,49"
"181";"TR-B";"ÇEKEREK HAVZA";"Dağıtım Trafosu";"5,28";"0,82";"8,45"
"182";"TR-A";"SİNCAN";"Dağıtım Trafosu";"-8,44";"0,84";"8,44"
"183";"TR-A";"ÇEKEREK HAVZA";"Dağıtım Trafosu";"5,22";"0,82";"8,34"
"184";"TR-D";"HACILAR";"Dağıtım Trafosu";"6,19";"0,11";"8,25"
"185";"TR-B";"AVANOS2";"Dağıtım Trafosu";"8,16";"-0,13";"8,16"
"186";"TR-B";"GÜNEYSINIR";"Dağıtım Trafosu";"4,99";"-0,43";"7,98"
