Bara Tipi;Bara ID;Bara Adı;RGK Tipi;Bara Gerilim Seviyesi;BYTM;TPYS Santral ID;TPYS Santral İsmi;Bara 1 TA;Bara 1 Setnum;Bara 2 TA;Bara 2 Setnum;Bara 3 TA;Bara 3 Setnum;Ünite Adı;UEVCB Adı;TPYS UEVCB ID;Kaynak Tipi;Aktif Güç TA;Aktif Güç Setnum;Reaktif Güç TA;Reaktif Güç Setnum;Ünite Nominal Güç;Ünite PMKUD;Nominal İkaz (Düşük);Nominal İkaz (Aşırı);Ünite Aktif mi ?
CONVENTIONAL;4952;İÇ ANADOLU DGKÇ SANTRALİ;CONVENTIONAL_AFTER_1996;400;OA_YTM;9701;İÇ ANADOLU DGKÇS;ICANADOL/380/BB-2/U;2,1,61253;ICANADOL/380/BB-1/U;2,1,61249;-;-;Ünite GT3;İÇ ANADOLU DGKÇS;3195727;NATURAL_GAS;ICANADOL/17/Gen ST/P;2,1,61293;ICANADOL/17/Gen ST/Q;2,1,61294;288;80;;;AKTİF
CONVENTIONAL;4952;İÇ ANADOLU DGKÇ SANTRALİ;CONVENTIONAL_AFTER_1996;400;OA_YTM;9701;İÇ ANADOLU DGKÇS;ICANADOL/380/BB-2/U;2,1,61253;ICANADOL/380/BB-1/U;2,1,61249;-;-;Ünite GT1;İÇ ANADOLU DGKÇS;3195727;NATURAL_GAS;ICANADOL/17/Gen GT-1/P;2,1,61285;ICANADOL/17/Gen GT-1/Q;2,1,61286;291;80;;;AKTİF
CONVENTIONAL;2106;KAPULUKAYA 154;CONVENTIONAL_BEFORE_1996;154;OA_YTM;195;KAPULUKAYA;KAPULUKA/154/BB A/U;2,1,28962;-;-;-;-;ÜNİTE-2;KAPULUKAYA;1338;RESERVOIR;KAPULUKA/13.8/Gen2/P;2,1,28996;KAPULUKA/13.8/Gen2/Q;2,1,28997;18;13;;;AKTİF
CONVENTIONAL;2106;KAPULUKAYA 154;CONVENTIONAL_BEFORE_1996;154;OA_YTM;195;KAPULUKAYA;KAPULUKA/154/BB A/U;2,1,28962;-;-;-;-;ÜNİTE-3;KAPULUKAYA;1338;RESERVOIR;KAPULUKA/13.8/Gen3/P;2,1,29001;KAPULUKA/13.8/Gen3/Q;2,1,29002;18;13;;;AKTİF
CONVENTIONAL;2106;KAPULUKAYA 154;CONVENTIONAL_BEFORE_1996;154;OA_YTM;195;KAPULUKAYA;KAPULUKA/154/BB A/U;2,1,28962;-;-;-;-;ÜNİTE-1;KAPULUKAYA;1338;RESERVOIR;KAPULUKA/13.8/Gen1/P;2,1,28991;KAPULUKA/13.8/Gen1/Q;2,1,28992;18;13;;;AKTİF
CONVENTIONAL;6137;KARAMAN BES;CONVENTIONAL_AFTER_1996;154;OA_YTM;16764;KARAMAN BES;KARMNBES/154/BB A/U;2,1,124882;-;-;-;-;YARDIMCI KAYNAK GES;KARAMAN BES;3214971;GES(Güneş Enerji Santrali);KARMNBES/11/GESHAT-1/P;2,1,160513;KARMNBES/11/GESHAT-1/Q;2,1,160514;5,99;;-2,901;2,901;AKTİF
CONVENTIONAL;6137;KARAMAN BES;CONVENTIONAL_AFTER_1996;154;OA_YTM;16764;KARAMAN BES;KARMNBES/154/BB A/U;2,1,124882;-;-;-;-;ÜNİTE 1-2;KARAMAN BES;3214971;BIO_MASS;KARMNBES/154/swTRA/P;2,1,124897;KARMNBES/154/swTRA/Q;2,1,124898;40;10,75;;;AKTİF
WIND;6157;KARAMAN RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;17923;KARAMAN RES;KARAMANR/154/swTR-A/U;2,1,162186;-;-;-;-;Ünite 1-14;KARAMAN RES;3217251;WIND;KARAMANR/154/swTR-A/P;2,1,139249;KARAMANR/154/swTR-A/Q;2,1,139250;46,8;-;-15,38;15,38;AKTİF
WIND;6085;KARAPINAR YEKA-1 GES 400;GES_AFTER_2020_KV;400;OA_YTM;15303;KARAPINAR YEKA-1 GES;K.PINARG/380/BB 1/U;2,1,110059;K.PINARG/380/BB 2/U;2,1,110060;-;-;Ünite 1-5;KARAPINAR YEKA-1 GES 400;3223150;SUN;K.PINARG/380/RGKTOP/P;2,1,162187;K.PINARG/380/RGKTOP/Q;2,1,162188;800;-;-387,46;387,46;AKTİF
WIND;6084;KARAPINAR YEKA-1 GES 154;GES_AFTER_2020_KV;154;OA_YTM;15303;KARAPINAR YEKA-1 GES;K.PINARG/154/BB A/U;2,1,110525;-;-;-;-;Ünite A-B;KARAPINAR YEKA-1 GES;3213050;SUN;K.PINARG/154/RGKTOP/P;2,1,161071;K.PINARG/154/RGKTOP/Q;2,1,161072;200;-;-96,86;96,86;AKTİF
