Bara Tipi;Bara ID;Bara Adı;RGK Tipi;Bara Gerilim Seviyesi;BYTM;TPYS Santral ID;TPYS Santral İsmi;Bara 1 TA;Bara 1 Setnum;Bara 2 TA;Bara 2 Setnum;Bara 3 TA;Bara 3 Setnum;Ünite Adı;UEVCB Adı;TPYS UEVCB ID;Kaynak Tipi;Aktif Güç TA;Aktif Güç Setnum;Reaktif Güç TA;Reaktif Güç Setnum;Ünite Nominal Güç;Ünite PMKUD;Nominal İkaz (Düşük);Nominal İkaz (Aşırı);Ünite Aktif mi ?
WIND;4572;YAHYALI RES;WIND_BETWEEN_2008_2013_RES_KV;154;OA_YTM;9623;YAHYALI RES (SE);YAHYALI/154/BB-A/U;2,1,19316;-;-;-;-;Ünite 1-22;YAHYALI RES(SE);3194130;WIND;YAHYALI/154/RGKTOP/P;2,1,159657;YAHYALI/154/RGKTOP/Q;2,1,159658;52,5;-;-17,26;17,26;AKTİF
WIND;4572;YAHYALI RES;WIND_BETWEEN_2008_2013_RES_KV;154;OA_YTM;9623;YAHYALI RES (SE);YAHYALI/154/BB-A/U;2,1,19316;-;-;-;-;YARDIMCI KAYNAK GES;YAHYALI RES(SE);3194130;GES(Güneş Enerji Santrali);YAHYALI/33.6/GESGen1/P;2,1,150777;YAHYALI/33.6/GESGen1/Q;2,1,150778;15,980;;-7,739;7,739;AKTİF
WIND;5192;YAHYALI-2 RES;WIND_BETWEEN_2008_2013_RES_KV;154;OA_YTM;10442;YAHYALI RES(BAK);YAHYALBE/154/BB-1/U;2,1,2383;YAHYALBE/154/BB-2/U;2,1,2384;-;-;Ünite 1-27;YAHYALI RES(BAK);3196728;WIND;YAHYALBE/154/RGKTOP/P;2,1,159129;YAHYALBE/154/RGKTOP/Q;2,1,159130;91,5;-;-30,07;30,07;AKTİF
WIND;5192;YAHYALI-2 RES;WIND_BETWEEN_2008_2013_RES_KV;154;OA_YTM;10442;YAHYALI RES(BAK);YAHYALBE/154/BB-1/U;2,1,2383;YAHYALBE/154/BB-2/U;2,1,2384;-;-;YARDIMCI KAYNAK GES;YAHYALI RES(BAK);3196728;GES(Güneş Enerji Santrali);YAHYALBE/154/RGKYKTOP/P;2,1,159131;YAHYALBE/154/RGKYKTOP/P;2,1,159132;71,417;;-34,589;34,589;AKTİF
CONVENTIONAL;5532;ACWA KIRIKKALE DGKÇ;CONVENTIONAL_AFTER_1996;400;OA_YTM;10721;ACWA KIRIKKALE;KIRIKDG/380/BB-1/U;2,1,5628;KIRIKDG/380/BB-2/U;2,1,5630;-;-;GT-2;ACWA POWER KIRIKKALE DGKÇS;3197267;NATURAL_GAS;KIRIKDG/20/Gen 2/P;2,1,68306;KIRIKDG/20/Gen 2/Q;2,1,68307;295,7;127;;;AKTİF
CONVENTIONAL;5532;ACWA KIRIKKALE DGKÇ;CONVENTIONAL_AFTER_1996;400;OA_YTM;10721;ACWA KIRIKKALE;KIRIKDG/380/BB-1/U;2,1,5628;KIRIKDG/380/BB-2/U;2,1,5630;-;-;ST;ACWA POWER KIRIKKALE DGKÇS;3197267;NATURAL_GAS;KIRIKDG/21/Gen ST/P;2,1,68298;KIRIKDG/21/Gen ST/Q;2,1,68299;336;120;;;AKTİF
CONVENTIONAL;5532;ACWA KIRIKKALE DGKÇ;CONVENTIONAL_AFTER_1996;400;OA_YTM;10721;ACWA KIRIKKALE;KIRIKDG/380/BB-1/U;2,1,5628;KIRIKDG/380/BB-2/U;2,1,5630;-;-;GT-1;ACWA POWER KIRIKKALE DGKÇS;3197267;NATURAL_GAS;KIRIKDG/20/Gen 1/P;2,1,68302;KIRIKDG/20/Gen 1/Q;2,1,68303;295,7;127;;;AKTİF
WIND;2890;AKSU ÇAMLICA RES;WIND_BETWEEN_2008_2013_RES_COS;154;OA_YTM;5169;AKSU RES;AKSURES/154/U ORT/U;2,1,160688;-;-;-;-;Ünite 1-39;AKSU RES;83166;WIND;AKSURES/154/RGKTOP/P;2,1,160623;AKSURES/154/RGKTOP/Q;2,1,160624;80;-;-26,3;26,3;AKTİF
CONVENTIONAL;2111;BAYMİNA 154;CONVENTIONAL_AFTER_1996;154;OA_YTM;97;ANKARA DGKÇS;TEMELLI/154/BB 2/U;2,1,82834;TEMELLI/154/BB 1/U;2,1,82833;-;-;ÜNİTE-GT1;ANKARA DGKÇS;3205527;NATURAL_GAS;ANK-DGKC/21/Gen 1/P;2,1,6489;ANK-DGKC/21/Gen 1/Q;2,1,6490;255,6;150;;;AKTİF
CONVENTIONAL;2111;BAYMİNA 154;CONVENTIONAL_AFTER_1996;154;OA_YTM;97;ANKARA DGKÇS;TEMELLI/154/BB 2/U;2,1,82834;TEMELLI/154/BB 1/U;2,1,82833;-;-;ÜNİTE-GT2;ANKARA DGKÇS;3205527;NATURAL_GAS;ANK-DGKC/21/Gen 2/P;2,1,6494;ANK-DGKC/21/Gen 2/Q;2,1,6495;255,6;150;;;AKTİF
CONVENTIONAL;2111;BAYMİNA 154;CONVENTIONAL_AFTER_1996;154;OA_YTM;97;ANKARA DGKÇS;TEMELLI/154/BB 2/U;2,1,82834;TEMELLI/154/BB 1/U;2,1,82833;-;-;ÜNİTE-ST;ANKARA DGKÇS;3205527;NATURAL_GAS;ANK-DGKC/21/Gen 3/P;2,1,6510;ANK-DGKC/21/Gen 3/Q;2,1,6511;322;150;;;AKTİF
WIND;5897;ARDIÇLI RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;12164;ARDIÇLI RES(ES-YEL);ARDICLI/154/BB A/U;2,1,77162;-;-;-;-;Ünite 1-19;ARDIÇLI RES(ES-YEL);3204159;WIND;ARDICLI/154/RGKTOP/P;2,1,159142;ARDICLI/154/RGKTOP/Q;2,1,159143;72,8;-;-23,93;23,93;AKTİF
WIND;6128;ATAKALE RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;16243;ATAKALE RES;ATAKALE/154/BB A/U;2,1,106146;-;-;-;-;Ünite 1-21;ATAKALE RES;3214310;WIND;ATAKALE/154/RGKTOP/P;2,1,160152;ATAKALE/154/RGKTOP/Q;2,1,160153;119,8;-;-39,38;39,38;AKTİF
CONVENTIONAL;2110;BAYRAMHACILI 154;CONVENTIONAL_AFTER_1996;154;OA_YTM;672;BAYRAMHACILI BARAJI ve HES;B.HACILI/154/BB A/U;2,1,8617;-;-;-;-;Ünite-2;BAYRAMHACILI BARAJI ve HES_ÜNİTE 2;29310;RESERVOIR;B.HACILI/10/Gen-2/P;2,1,8657;B.HACILI/10/Gen-2/Q;2,1,8658;23,5;14,1;;;AKTİF
CONVENTIONAL;2110;BAYRAMHACILI 154;CONVENTIONAL_AFTER_1996;154;OA_YTM;672;BAYRAMHACILI BARAJI ve HES;B.HACILI/154/BB A/U;2,1,8617;-;-;-;-;Ünite-1;BAYRAMHACILI BARAJI ve HES_ÜNİTE 1;29284;RESERVOIR;B.HACILI/10/Gen-1/P;2,1,8652;B.HACILI/10/Gen-1/Q;2,1,8653;23,5;14,1;;;AKTİF
WIND;6200;BEYYURDU RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;5003941;BEYYURDU RES;BEYYURDU/154/BB A/U;2,1,154337;-;-;-;-;Ünite 1-5;BEYYURDU RES;5003961;WIND;BEYYURDU/154/RGKTOP/P;2,1,159602;BEYYURDU/154/RGKTOP/Q;2,1,159603;30;-;-9,86;9,86;AKTİF
CONVENTIONAL;2113;ÇAMLICA HES 154;CONVENTIONAL_AFTER_1996;154;OA_YTM;7398;ÇAMLICA 1 HES;CAMLICA/154/BB 2/U;2,1,13979;CAMLICA/154/BB 1/U;2,1,13978;-;-;GEN 3;ÇAMLICA 1 HES;3218650;RIVER_TYPE;CAMLICAH/10.6/Gen 3/P;2,1,106787;CAMLICAH/10.6/Gen 3/Q;106788;28;22;;;AKTİF
CONVENTIONAL;2113;ÇAMLICA HES 154;CONVENTIONAL_AFTER_1996;154;OA_YTM;7398;ÇAMLICA 1 HES;CAMLICA/154/BB 2/U;2,1,13979;CAMLICA/154/BB 1/U;2,1,13978;-;-;GEN 1;ÇAMLICA 1 HES;3218650;RIVER_TYPE;CAMLICAH/10.6/Gen 1/P;2,1,106779;CAMLICAH/10.6/Gen 1/Q;2,1,106780;28;22;;;AKTİF
CONVENTIONAL;2113;ÇAMLICA HES 154;CONVENTIONAL_AFTER_1996;154;OA_YTM;7398;ÇAMLICA 1 HES;CAMLICA/154/BB 2/U;2,1,13979;CAMLICA/154/BB 1/U;2,1,13978;-;-;GEN 2;ÇAMLICA 1 HES;3218650;RIVER_TYPE;CAMLICAH/10.6/Gen 2/P;2,1,106783;CAMLICAH/10.6/Gen 2/Q;2,1,106784;28;22;;;AKTİF
CONVENTIONAL;2112;ÇAYIRHAN TES 380;CONVENTIONAL_BEFORE_1996;400;OA_YTM;99;ÇAYIRHAN TES;CAYIRHAN/380/BB 1A/U;2,1,15139;CAYIRHAN/380/BB 2/U;2,1,15141;-;-;ÜNİTE-4;ÇAYIRHAN TES_GR(1,2,3,4);3204406;LIGNITE;CAYIRHAN/15/Gen 4/P;2,1,15090;CAYIRHAN/15/Gen 4/Q;2,1,15091;160;135;;;AKTİF
CONVENTIONAL;2112;ÇAYIRHAN TES 380;CONVENTIONAL_BEFORE_1996;400;OA_YTM;99;ÇAYIRHAN TES;CAYIRHAN/380/BB 1A/U;2,1,15139;CAYIRHAN/380/BB 2/U;2,1,15141;-;-;ÜNİTE-2;ÇAYIRHAN TES_GR(1,2,3,4);3204406;LIGNITE;CAYIRHAN/15/Gen 2/P;2,1,15080;CAYIRHAN/15/Gen 2/Q;2,1,15081;150;127;;;AKTİF
CONVENTIONAL;2112;ÇAYIRHAN TES 380;CONVENTIONAL_BEFORE_1996;400;OA_YTM;99;ÇAYIRHAN TES;CAYIRHAN/380/BB 1A/U;2,1,15139;CAYIRHAN/380/BB 2/U;2,1,15141;-;-;ÜNİTE-3;ÇAYIRHAN TES_GR(1,2,3,4);3204406;LIGNITE;CAYIRHAN/15/Gen 3/P;2,1,15085;CAYIRHAN/15/Gen 3/Q;2,1,15086;160;135;;;AKTİF
CONVENTIONAL;2112;ÇAYIRHAN TES 380;CONVENTIONAL_BEFORE_1996;400;OA_YTM;99;ÇAYIRHAN TES;CAYIRHAN/380/BB 1A/U;2,1,15139;CAYIRHAN/380/BB 2/U;2,1,15141;-;-;ÜNİTE-1;ÇAYIRHAN TES_GR(1,2,3,4);3204406;LIGNITE;CAYIRHAN/15/Gen 1/P;2,1,15075;CAYIRHAN/15/Gen 1/Q;2,1,15076;150;127;;;AKTİF
WIND;6228;G4-BOR-1 GES;GES_AFTER_2020_KV;154;OA_YTM;5011621;G4-BOR-1 GES;G4BOR-1/154/BB-A/U;2,1,157953;-;-;-;-;Ünite 1-10;G4-BOR-1 GES;5011641;SUN;G4BOR-1/154/RGKTOP/P;2,1,159924;G4BOR-1/154/RGKTOP/Q;2,1,159925;93,02;-;-45,05;45,05;AKTİF
WIND;6153;G4-BOR2 GES;GES_AFTER_2020_KV;154;OA_YTM;20704;G4-BOR2 GES;G4_BOR-2/154/BB A/U;2,1,138626;-;-;-;-;Ünite 1-8;G4-BOR2 GES;3223631;SUN;G4_BOR-2/154/RGKTOP/P;2,1,159608;G4_BOR-2/154/RGKTOP/Q;2,1,159609;100;-;-48,43;48,43;AKTİF
