Bara Tipi;Bara ID;Bara Adı;RGK Tipi;Bara Gerilim Seviyesi;BYTM;TPYS Santral ID;TPYS Santral İsmi;Bara 1 TA;Bara 1 Setnum;Bara 2 TA;Bara 2 Setnum;Bara 3 TA;Bara 3 Setnum;Ünite Adı;UEVCB Adı;TPYS UEVCB ID;Kaynak Tipi;Aktif Güç TA;Aktif Güç Setnum;Reaktif Güç TA;Reaktif Güç Setnum;Ünite Nominal Güç;Ünite PMKUD;Nominal İkaz (Düşük);Nominal İkaz (Aşırı);Ünite Aktif mi ?;YTBS Santral Adı;YTBS Trafo Merkezi ID;YTBS Trafo Merkezi Adı;Enlem;Boylam;KAYNAK TÜRÜ;İkincil Kaynakları;İli;Bara Tipi;Senkron Kompansatör Var mI?;EÜAŞ Protokol Var Mı?;Yan Hizmetler Analiz Platformu RGK Tipi;RGK TİPİ Açıklama;Dengeleme Birimi mi?;TPYS Ünite MKÜD;TPYS Santral MKÜD
WIND;5902;BAĞLAR RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;12183;BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.);BAGLARRE/154/BB-A/U;2,1,77108;-;-;-;-;ÜNİTE 1-24;BAĞLAR RES;3204190;WIND;BAGLARRE/154/RGKTOP/P;2,1,159269;BAGLARRE/154/RGKTOP/Q;2,1,159270;100;-;-32,87;32,87;AKTİF;BAĞLAR RES;1525;BAĞLAR RES;38,165;32,65;Rüzgar;Güneş;Konya;Hibrit- RES/GES;0;0;HIB_RESGES_GK;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;5192;YAHYALI-2 RES;WIND_BETWEEN_2008_2013_RES_KV;154;OA_YTM;10442;YAHYALI RES(BAK);YAHYALBE/154/BB-1/U;2,1,2383;YAHYALBE/154/BB-2/U;2,1,2384;-;-;Ünite 1-27;YAHYALI RES(BAK);3196728;WIND;YAHYALBE/154/RGKTOP/P;2,1,159129;YAHYALBE/154/RGKTOP/Q;2,1,159130;91,5;-;-30,07;30,07;AKTİF;YAHYALI BAK RES;1400;YAHYALI BAK RES;38,179;35,468;Rüzgar;Güneş;Kayseri;Hibrit- RES/GES;0;0;HIB_RESGES_GK;RES-2>> 25.09.2008 ile 02.01.2013 arası kV;0;0;0
WIND;5959;MUTLU RES 5;WIND_AFTER_2013_RES_KV;154;OA_YTM;14843;MUTLU RES 5;MUTLU5R/154/BB A/U;2,1,111416;-;-;-;-;Ünite 1-13;MUTLU RES 5;3211091;WIND;MUTLU5R/154/RGKTOP/P;2,1,159414;MUTLU5R/154/RGKTOP/Q;2,1,159415;81,2;-;-26,69;26,69;AKTİF;MUTLU5 RES;1720;MUTLU5 RES;38,154;32,561;Rüzgar;Güneş;Konya;Hibrit- RES/GES;0;0;HIB_RESGES_GK;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;2890;AKSU ÇAMLICA RES;WIND_BETWEEN_2008_2013_RES_COS;154;OA_YTM;5169;AKSU RES;AKSURES/154/U ORT/U;2,1,160688;-;-;-;-;Ünite 1-39;AKSU RES;83166;WIND;AKSURES/154/RGKTOP/P;2,1,160623;AKSURES/154/RGKTOP/Q;2,1,160624;80;-;-26,3;26,3;AKTİF;AKSU RES;982;AKSU RES;38,11;35,46;Rüzgar;0;Kayseri;RES;0;0;RES_GF_2008_2013;RES-3>> 25.09.2008 ile 02.01.2013 arası - Cos φ;0;0;0
WIND;6149;ERCİYES RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;20003;ERCİYES RES;ERCIYESR/154/BB A/U;2,1,134056;-;-;-;-;Ünite 1-16;ERCİYES RES;3221370;WIND;ERCIYESR/154/RGKTOP/P;2,1,160027;ERCIYESR/154/RGKTOP/Q;2,1,160028;78,6;-;-25,83;25,83;AKTİF;ERCİYES RES;1888;ERCİYES RES;37,97;35,471;Rüzgar;Güneş;Kayseri;Hibrit- RES/GES;0;0;HIB_RESGES_GK;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;5897;ARDIÇLI RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;12164;ARDIÇLI RES(ES-YEL);ARDICLI/154/BB A/U;2,1,77162;-;-;-;-;Ünite 1-19;ARDIÇLI RES(ES-YEL);3204159;WIND;ARDICLI/154/RGKTOP/P;2,1,159142;ARDICLI/154/RGKTOP/Q;2,1,159143;72,8;-;-23,93;23,93;AKTİF;ARDIÇLI RES;1526;ARDIÇLI RES;38,025;32,445;Rüzgar;0;Konya;RES;0;0;RES_GK_2013S;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;5052;GEYCEK RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;6740;GEYCEK RES;GEYCEK/154/swTR1/U;2,1,160964;-;-;-;-;YARDIMCI KAYNAK GES;AL-YEL ELEKTRİK ÜRETİM A.Ş.;340575;GES(Güneş Enerji Santrali);GEYCEK/34.5/Gen-15/P;2,1,156380;GEYCEK/34.5/Gen-15/Q;2,1,156381;46,63;;-22,585;22,585;AKTİF;GEYCEK RES;1038;GEYCEK RES;39,111;34,444;Rüzgar;Güneş;Kırşehir;Hibrit- RES/GES;0;0;HIB_RESGES_GK;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;5959;MUTLU RES 5;WIND_AFTER_2013_RES_KV;154;OA_YTM;14843;MUTLU RES 5;MUTLU5R/154/BB A/U;2,1,111416;-;-;-;-;YARDIMCI KAYNAK GES;MUTLU RES 5;3211091;GES(Güneş Enerji Santrali);MUTLU5R/154/RGKYKTOP/P;2,1,159416;MUTLU5R/154/RGKYKTOP/Q;2,1,159417;43,99;;-21,31;21,31;AKTİF;MUTLU5 RES;1720;MUTLU5 RES;38,154;32,561;Rüzgar;Güneş;Konya;Hibrit- RES/GES;0;0;HIB_RESGES_GK;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;6002;AKYEL-1 RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;15283;AKYEL-1 RES;AKYEL-1/154/U ORT/U;2,1,160635;-;-;-;-;YARDIMCI KAYNAK GES;AKYEL-1 RES;3213030;GES(Güneş Enerji Santrali);AKYEL-1/34.5/GenHAT-6/P;2,1,138286;AKYEL-1/34.5/GenHAT-6/Q;2,1,138287;39,99;;-19,367;19,367;AKTİF;AKYEL 1 RES;1735;AKYEL 1 RES;36,961;33,469;Rüzgar;Güneş;Karaman;Hibrit- RES/GES;0;0;HIB_RESGES_GK;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;6002;AKYEL-1 RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;15283;AKYEL-1 RES;AKYEL-1/154/U ORT/U;2,1,160635;-;-;-;-;Ünite 1-12;AKYEL-1 RES;3213030;WIND;AKYEL-1/154/RGKTOP/P;2,1,159140;AKYEL-1/154/RGKTOP/Q;2,1,159141;58,55;-;-19,24;19,24;AKTİF;AKYEL 1 RES;1735;AKYEL 1 RES;36,961;33,469;Rüzgar;Güneş;Karaman;Hibrit- RES/GES;0;0;HIB_RESGES_GK;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;4572;YAHYALI RES;WIND_BETWEEN_2008_2013_RES_KV;154;OA_YTM;9623;YAHYALI RES (SE);YAHYALI/154/BB-A/U;2,1,19316;-;-;-;-;Ünite 1-22;YAHYALI RES(SE);3194130;WIND;YAHYALI/154/RGKTOP/P;2,1,159657;YAHYALI/154/RGKTOP/Q;2,1,159658;52,5;-;-17,26;17,26;AKTİF;YAHYALI RES;1327;YAHYALI RES;38,179;35,468;Rüzgar;Güneş;Kayseri;Hibrit- RES/GES;0;0;HIB_RESGES_GK;RES-2>> 25.09.2008 ile 02.01.2013 arası kV;0;0;0
WIND;6201;R3-ANKARA-2-1;WIND_AFTER_2013_RES_KV;154;OA_YTM;5003861;R3-ANKARA-2-1 RES;R3ANKARA/154/BB-1/U;2,1,153989;-;-;-;-;Ünite 1-12;R3-ANKARA-2-1 RES;5003862;WIND;R3ANKARA/154/swTR-1/P;2,1,154007;R3ANKARA/154/swTR-1/Q;2,1,154008;50;-;-16,43;16,43;AKTİF;R3-ANKARA-2-1;2352;ATA RES;39,02;33,679;Rüzgar;0;Ankara;GES;0;0;RES_GK_2013S;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;6239;R3-YOZGAT-1 RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;5012663;R3-YOZGAT-1 RES;KARALIKR/154/BB-1/U;2,1,156165;-;-;-;-;ÜNİTE 1-5;R3-YOZGAT-1 RES;5012681;WIND;KARALIKR/154/RGKTOP/P;2,1,162006;KARALIKR/154/RGKTOP/Q;2,1,162007;50;-;-16,43;16,43;AKTİF;R3-YOZGAT-1 RES;2358;KARALIK RES;39,926;35,417;Rüzgar;0;Yozgat;RES;0;0;RES_GK_2013S;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;6083;TEKSİN GES;GES_AFTER_2020_KV;154;OA_YTM;15183;TEKSİN GES;TEKSINGE/154/BB-A/U;2,1,107775;-;-;-;-;ÜNİTE A;TEKSİN GES;3212790;SUN;TEKSINGE/154/swTR-1/P;2,1,107781;TEKSINGE/154/swTR-1/Q;2,1,107782;33,12;-;-16,04;16,04;AKTİF;TEKSİN GES;1733;TEKSİN GES;37,184;33,32;Güneş;0;Karaman;GES;0;0;GES_GK_2020S;GES-1>> 2020 Sonrası;0;0;0
WIND;4772;KURTKAYASI RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;9703;KURTKAYASI RES(ARE);KURTKAYA/154/BB-A/U;2,1,62359;-;-;-;-;Ünite 1-19;KURTKAYASI RES(ARE);3194585;WIND;KURTKAYA/154/swTR-A/P;2,1,62671;KURTKAYA/154/swTR-A/Q;2,1,62707;48,6;-;-15,97;15,97;AKTİF;KURTKAYASI RES;1335;KURTKAYASI RES;38,058;35,483;Rüzgar;0;Kayseri;RES;0;0;RES_GK_2013S;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;6157;KARAMAN RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;17923;KARAMAN RES;KARAMANR/154/swTR-A/U;2,1,162186;-;-;-;-;Ünite 1-14;KARAMAN RES;3217251;WIND;KARAMANR/154/swTR-A/P;2,1,139249;KARAMANR/154/swTR-A/Q;2,1,139250;46,8;-;-15,38;15,38;AKTİF;KARAMAN RES;2313;KARAMAN RES;36,975;33,555;Rüzgar;0;Karaman;RES;0;0;RES_GK_2013S;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;6275;R3-KARAMAN-1 RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;5012961;R3-KARAMAN-1 RES;R3KRMN1R/154/BB-A/U;2,1,158880;-;-;-;-;Ünite 1-17;R3-KARAMAN-1 RES;5012962;WIND;R3KRMN1R/154/swTR-A/P;2,1,158896;R3KRMN1R/154/swTR-A/Q;2,1,158897;42;-;-13,81;13,81;AKTİF;R3-KARAMAN-1 RES;2541;AYBASTI RES;36,995;33,095;Rüzgar;0;Karaman;RES;0;0;RES_GK_2013S;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;5902;BAĞLAR RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;12183;BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.);BAGLARRE/154/BB-A/U;2,1,77108;-;-;-;-;YARDIMCI KAYNAK GES;BAĞLAR RES;3204190;GES(Güneş Enerji Santrali);BAGLARRE/33.6/GES-HAT/P;2,1,150132;BAGLARRE/33.6/GES-HAT/Q;2,1,150133;25,985;;-12,583;12,583;AKTİF;BAĞLAR RES;1525;BAĞLAR RES;38,165;32,65;Rüzgar;Güneş;Konya;Hibrit- RES/GES;0;0;HIB_RESGES_GK;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;6149;ERCİYES RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;20003;ERCİYES RES;ERCIYESR/154/BB A/U;2,1,134056;-;-;-;-;YARDIMCI KAYNAK GES;ERCİYES RES;3221370;GES(Güneş Enerji Santrali);ERCIYESR/33/GES-HAT/P;2,1,139347;ERCIYESR/33/GES-HAT/Q;2,1,139348;23,84;;-11,548;11,548;AKTİF;ERCİYES RES;1888;ERCİYES RES;37,97;35,471;Rüzgar;Güneş;Kayseri;Hibrit- RES/GES;0;0;HIB_RESGES_GK;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;6200;BEYYURDU RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;5003941;BEYYURDU RES;BEYYURDU/154/BB A/U;2,1,154337;-;-;-;-;Ünite 1-5;BEYYURDU RES;5003961;WIND;BEYYURDU/154/RGKTOP/P;2,1,159602;BEYYURDU/154/RGKTOP/Q;2,1,159603;30;-;-9,86;9,86;AKTİF;BEYYURDU RES;2232;BEYYURDU RES;39,938;35,342;Rüzgar;0;Yozgat;RES;0;0;RES_GK_2013S;RES-1>> 03.01.2013 ve sonrası;0;0;0
WIND;4572;YAHYALI RES;WIND_BETWEEN_2008_2013_RES_KV;154;OA_YTM;9623;YAHYALI RES (SE);YAHYALI/154/BB-A/U;2,1,19316;-;-;-;-;YARDIMCI KAYNAK GES;YAHYALI RES(SE);3194130;GES(Güneş Enerji Santrali);YAHYALI/33.6/GESGen1/P;2,1,150777;YAHYALI/33.6/GESGen1/Q;2,1,150778;15,98;;-7,739;7,739;AKTİF;YAHYALI RES;1327;YAHYALI RES;38,179;35,468;Rüzgar;Güneş;Kayseri;Hibrit- RES/GES;0;0;HIB_RESGES_GK;RES-2>> 25.09.2008 ile 02.01.2013 arası kV;0;0;0
CONVENTIONAL;6137;KARAMAN BES;CONVENTIONAL_AFTER_1996;154;OA_YTM;16764;KARAMAN BES;KARMNBES/154/BB A/U;2,1,124882;-;-;-;-;YARDIMCI KAYNAK GES;KARAMAN BES;3214971;GES(Güneş Enerji Santrali);KARMNBES/11/GESHAT-1/P;2,1,160513;KARMNBES/11/GESHAT-1/Q;2,1,160514;5,99;;-2,901;2,901;AKTİF;KARAMAN BES;1847;KARAMAN BES;37,308;33,515;Biyokütle;0;Karaman;Konvansiyonel;0;0;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;0;0;0
CONVENTIONAL;5532;ACWA KIRIKKALE DGKÇ;CONVENTIONAL_AFTER_1996;400;OA_YTM;10721;ACWA KIRIKKALE;KIRIKDG/380/BB-1/U;2,1,5628;KIRIKDG/380/BB-2/U;2,1,5630;-;-;GT-2;ACWA POWER KIRIKKALE DGKÇS;3197267;NATURAL_GAS;KIRIKDG/20/Gen 2/P;2,1,68306;KIRIKDG/20/Gen 2/Q;2,1,68307;295,7;127;-97,19;183,26;AKTİF;KIRIKKALE DGKÇ;1387;KIRIKKALE DGKÇ;39,862;33,424;Doğal Gaz;0;Kırıkkale;Konvansiyonel;0;0;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;1;217;460
CONVENTIONAL;5532;ACWA KIRIKKALE DGKÇ;CONVENTIONAL_AFTER_1996;400;OA_YTM;10721;ACWA KIRIKKALE;KIRIKDG/380/BB-1/U;2,1,5628;KIRIKDG/380/BB-2/U;2,1,5630;-;-;ST;ACWA POWER KIRIKKALE DGKÇS;3197267;NATURAL_GAS;KIRIKDG/21/Gen ST/P;2,1,68298;KIRIKDG/21/Gen ST/Q;2,1,68299;336;120;-110,44;208,23;AKTİF;KIRIKKALE DGKÇ;1387;KIRIKKALE DGKÇ;39,862;33,424;Doğal Gaz;0;Kırıkkale;Konvansiyonel;0;0;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;1;217;460
CONVENTIONAL;5532;ACWA KIRIKKALE DGKÇ;CONVENTIONAL_AFTER_1996;400;OA_YTM;10721;ACWA KIRIKKALE;KIRIKDG/380/BB-1/U;2,1,5628;KIRIKDG/380/BB-2/U;2,1,5630;-;-;GT-1;ACWA POWER KIRIKKALE DGKÇS;3197267;NATURAL_GAS;KIRIKDG/20/Gen 1/P;2,1,68302;KIRIKDG/20/Gen 1/Q;2,1,68303;295,7;127;-97,19;183,26;AKTİF;KIRIKKALE DGKÇ;1387;KIRIKKALE DGKÇ;39,862;33,424;Doğal Gaz;0;Kırıkkale;Konvansiyonel;0;0;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;1;217;460
CONVENTIONAL;2111;BAYMİNA 154;CONVENTIONAL_AFTER_1996;154;OA_YTM;97;ANKARA DGKÇS;TEMELLI/154/BB 2/U;2,1,82834;TEMELLI/154/BB 1/U;2,1,82833;-;-;ÜNİTE-GT1;ANKARA DGKÇS;3205527;NATURAL_GAS;ANK-DGKC/21/Gen 1/P;2,1,6489;ANK-DGKC/21/Gen 1/Q;2,1,6490;255,6;150;-84,01;158,41;AKTİF;ANKARA DGKÇ;918;BAYMİNA DGKÇ;39,777;32,407;Doğal Gaz;0;Ankara;Konvansiyonel;0;0;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;1;220;440
CONVENTIONAL;2111;BAYMİNA 154;CONVENTIONAL_AFTER_1996;154;OA_YTM;97;ANKARA DGKÇS;TEMELLI/154/BB 2/U;2,1,82834;TEMELLI/154/BB 1/U;2,1,82833;-;-;ÜNİTE-GT2;ANKARA DGKÇS;3205527;NATURAL_GAS;ANK-DGKC/21/Gen 2/P;2,1,6494;ANK-DGKC/21/Gen 2/Q;2,1,6495;255,6;150;-84,01;158,41;AKTİF;ANKARA DGKÇ;918;BAYMİNA DGKÇ;39,777;32,407;Doğal Gaz;0;Ankara;Konvansiyonel;0;0;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;1;220;440
CONVENTIONAL;2111;BAYMİNA 154;CONVENTIONAL_AFTER_1996;154;OA_YTM;97;ANKARA DGKÇS;TEMELLI/154/BB 2/U;2,1,82834;TEMELLI/154/BB 1/U;2,1,82833;-;-;ÜNİTE-ST;ANKARA DGKÇS;3205527;NATURAL_GAS;ANK-DGKC/21/Gen 3/P;2,1,6510;ANK-DGKC/21/Gen 3/Q;2,1,6511;322;150;-105,84;199,56;AKTİF;ANKARA DGKÇ;918;BAYMİNA DGKÇ;39,777;32,407;Doğal Gaz;0;Ankara;Konvansiyonel;0;0;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;1;220;440
CONVENTIONAL;2110;BAYRAMHACILI 154;CONVENTIONAL_AFTER_1996;154;OA_YTM;672;BAYRAMHACILI BARAJI ve HES;B.HACILI/154/BB A/U;2,1,8617;-;-;-;-;Ünite-2;BAYRAMHACILI BARAJI ve HES_ÜNİTE 2;29310;RESERVOIR;B.HACILI/10/Gen-2/P;2,1,8657;B.HACILI/10/Gen-2/Q;2,1,8658;23,5;14,1;-7,72;14,56;AKTİF;BAYRAMHACILI HES;7;BAYRAMHACILI HES;39,017;34,056;Barajlı;0;Nevşehir;Konvansiyonel;0;0;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;1;14,1;14,1
CONVENTIONAL;2110;BAYRAMHACILI 154;CONVENTIONAL_AFTER_1996;154;OA_YTM;672;BAYRAMHACILI BARAJI ve HES;B.HACILI/154/BB A/U;2,1,8617;-;-;-;-;Ünite-1;BAYRAMHACILI BARAJI ve HES_ÜNİTE 1;29284;RESERVOIR;B.HACILI/10/Gen-1/P;2,1,8652;B.HACILI/10/Gen-1/Q;2,1,8653;23,5;14,1;-7,72;14,56;AKTİF;BAYRAMHACILI HES;7;BAYRAMHACILI HES;39,017;34,056;Barajlı;0;Nevşehir;Konvansiyonel;0;0;KON_GB_2003S;KON-2>> 22.01.2003 sonrası;1;14,1;14,1
