sep=;
Kaynak;Veri Tipi;Ölçüm Zamanı;YTM;Santral;YKS İç Bara ID;Bara ID;Bara Adı;TPYS Set;Canlı Bara;Pgen MW;Qgen MVAr;Yardımcı Kaynak MW;Yardımcı Kaynak MVAr;Yardımcı D.İ. Limit;Yardımcı A.İ. Limit;D.İ. Limit;A.İ. Limit;Ana Onay;Yardımcı Onay
"=""API""";"=""WIND""";"=""2026-04-27T00:25:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,24;2,98;0,46;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:26:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,29;3,97;0,47;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:27:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,55;2,98;0,61;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:28:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,55;2,98;0,46;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:29:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;157,88;2,98;0,3;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:30:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,04;2,98;0,5;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:31:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;157,93;2,98;0,32;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:32:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;157,32;2,98;0,46;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:33:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;157,22;3,97;0,26;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:34:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;157,99;2,98;0,51;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:35:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;157,47;2,98;0,29;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:36:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;157,68;2,98;0,29;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:37:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;157,68;2,98;0,4;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:38:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,29;2,98;0,37;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:39:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,96;2,98;0,47;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:40:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,6;2,98;0,39;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:41:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,71;2,98;0,43;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:42:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,35;2,98;0,39;;;;;;;;
